Time,secs	AreaA,cm	AreaA,A	Unused    	Unused    	PiA,mN/m	Unused    	Unused    	Unused    	Unused    	Unused    
8988.420000	256.003267	11.052030	-595.823653	-595.823653	-0.085638	45.475000	0.000000		161.082738	NaN
8988.920000	255.943180	11.049436	-595.823653	-595.823653	-0.052334	45.475000	0.000000		161.091618	NaN
8989.420000	256.003267	11.052030	-595.823653	-595.823653	-0.061850	45.475000	0.000000		161.091618	NaN
8989.920000	256.003267	11.052030	-595.823653	-595.823653	-0.042819	45.475000	0.000000		161.100498	NaN
8990.420000	255.883092	11.046842	-595.823653	-595.823653	-0.057092	45.475000	0.000000		161.109378	NaN
8990.920000	255.883092	11.046842	-595.823653	-595.823653	-0.071365	45.475000	0.000000		161.109378	NaN
8991.420000	255.823005	11.044248	-595.823653	-595.823653	-0.052334	45.475000	0.000000		161.109378	NaN
8991.920000	255.702830	11.039059	-595.823653	-595.823653	-0.038061	45.475000	0.000000		161.118259	NaN
8992.420000	255.702830	11.039059	-595.823653	-595.823653	-0.038061	45.475000	0.000000		161.118259	NaN
8992.920000	255.702830	11.039059	-595.823653	-595.823653	-0.033304	45.475000	0.000000		161.127139	NaN
8993.420000	255.702830	11.039059	-595.823653	-595.823653	-0.033304	45.475000	0.000000		161.127139	NaN
8993.920000	255.642742	11.036465	-595.823653	-595.823653	-0.057092	45.475000	0.000000		161.136019	NaN
8994.420000	255.582655	11.033871	-595.823653	-595.823653	-0.047577	45.475000	0.000000		161.136019	NaN
8994.920000	255.402392	11.026089	-595.823653	-595.823653	-0.057092	45.475000	0.000000		161.136019	NaN
8995.420000	255.342305	11.023495	-595.823653	-595.823653	-0.057092	45.475000	0.000000		161.144899	NaN
8995.920000	255.342305	11.023495	-595.823653	-595.823653	-0.042819	45.475000	0.000000		161.144899	NaN
8996.420000	255.342305	11.023495	-595.823653	-595.823653	-0.033304	45.475000	0.000000		161.144899	NaN
8996.920000	255.282217	11.020901	-595.823653	-595.823653	-0.023788	45.475000	0.000000		161.153780	NaN
8997.420000	255.222130	11.018307	-595.823653	-595.823653	-0.047577	45.475000	0.000000		161.153780	NaN
8997.920000	255.101955	11.013119	-595.823653	-595.823653	-0.023788	45.475000	0.000000		161.162660	NaN
8998.420000	254.981780	11.007931	-595.823653	-595.823653	-0.042819	45.475000	0.000000		161.162660	NaN
8998.920000	255.041867	11.010525	-595.823653	-595.823653	-0.042819	45.475000	0.000000		161.162660	NaN
8999.420000	255.041867	11.010525	-595.823653	-595.823653	-0.038061	45.475000	0.000000		161.171540	NaN
8999.920000	254.981780	11.007931	-595.823653	-595.823653	-0.033304	45.475000	0.000000		161.180420	NaN
9000.420000	254.981780	11.007931	-595.823653	-595.823653	-0.028546	45.475000	0.000000		161.180420	NaN
9000.920000	254.921692	11.005337	-595.823653	-595.823653	-0.028546	45.475000	0.000000		161.189300	NaN
9001.420000	254.921692	11.005337	-595.823653	-595.823653	-0.042819	45.475000	0.000000		161.180420	NaN
9001.920000	254.741430	10.997554	-595.823653	-595.823653	-0.038061	45.475000	0.000000		161.189300	NaN
9002.420000	254.741430	10.997554	-595.823653	-595.823653	-0.042819	45.475000	0.000000		161.189300	NaN
9002.920000	254.741430	10.997554	-595.823653	-595.823653	-0.023788	45.475000	0.000000		161.189300	NaN
9003.420000	254.681342	10.994960	-595.823653	-595.823653	-0.038061	45.475000	0.000000		161.207061	NaN
9003.920000	254.741430	10.997554	-595.823653	-595.823653	-0.038061	45.475000	0.000000		161.198181	NaN
9004.420000	254.741430	10.997554	-595.823653	-595.823653	-0.014273	45.475000	0.000000		161.207061	NaN
