Time,secs	AreaA,cm	AreaA,A	Unused    	Unused    	PiA,mN/m	Unused    	Unused    	Unused    	Unused    	Unused    
0.420000	111.206280	4.800935	-595.823653	-595.823653	22.575431	42.496000	0.000000		159.502058	NaN
0.920000	111.206280	4.800935	-595.823653	-595.823653	22.579906	42.496000	0.000000		159.510938	NaN
1.420000	111.166897	4.799235	-595.823653	-595.823653	22.575431	42.496000	0.000000		159.502058	NaN
1.920000	111.166897	4.799235	-595.823653	-595.823653	22.579906	42.496000	0.000000		159.510938	NaN
2.420000	111.127515	4.797535	-595.823653	-595.823653	22.570955	42.496000	0.000000		159.510938	NaN
2.920000	111.206280	4.800935	-595.823653	-595.823653	22.575431	42.496000	0.000000		159.502058	NaN
3.420000	111.166897	4.799235	-595.823653	-595.823653	22.575431	42.496000	0.000000		159.510938	NaN
3.920000	111.166897	4.799235	-595.823653	-595.823653	22.575431	42.496000	0.000000		159.510938	NaN
4.420000	111.127515	4.797535	-595.823653	-595.823653	22.575431	42.496000	0.000000		159.510938	NaN
4.920000	111.166897	4.799235	-595.823653	-595.823653	22.579906	42.496000	0.000000		159.510938	NaN
5.420000	111.206280	4.800935	-595.823653	-595.823653	22.579906	42.496000	0.000000		159.519818	NaN
5.920000	111.048749	4.794134	-595.823653	-595.823653	22.611236	42.496000	0.000000		159.510938	NaN
6.420000	110.930601	4.789034	-595.823653	-595.823653	22.615712	42.496000	0.000000		159.510938	NaN
6.920000	110.930601	4.789034	-595.823653	-595.823653	22.629139	42.496000	0.000000		159.519818	NaN
7.420000	110.654923	4.777132	-595.823653	-595.823653	22.638091	42.496000	0.000000		159.510938	NaN
7.920000	110.536775	4.772032	-595.823653	-595.823653	22.642566	42.496000	0.000000		159.510938	NaN
8.420000	110.300479	4.761831	-595.823653	-595.823653	22.642566	42.496000	0.000000		159.519818	NaN
8.920000	110.221714	4.758430	-595.823653	-595.823653	22.655993	42.496000	0.000000		159.519818	NaN
9.420000	110.103566	4.753330	-595.823653	-595.823653	22.651518	42.496000	0.000000		159.519818	NaN
9.920000	109.867270	4.743128	-595.823653	-595.823653	22.673896	42.496000	0.000000		159.519818	NaN
10.420000	109.630974	4.732927	-595.823653	-595.823653	22.673896	42.496000	0.000000		159.519818	NaN
10.920000	109.591591	4.731227	-595.823653	-595.823653	22.669421	42.496000	0.000000		159.519818	NaN
11.420000	109.355295	4.721026	-595.823653	-595.823653	22.687323	42.496000	0.000000		159.528698	NaN
11.920000	109.158382	4.712525	-595.823653	-595.823653	22.696275	42.496000	0.000000		159.519818	NaN
12.420000	109.158382	4.712525	-595.823653	-595.823653	22.705226	42.496000	0.000000		159.519818	NaN
12.920000	108.961469	4.704024	-595.823653	-595.823653	22.714178	42.496000	0.000000		159.519818	NaN
13.420000	108.685790	4.692122	-595.823653	-595.823653	22.709702	42.496000	0.000000		159.519818	NaN
13.920000	108.607025	4.688722	-595.823653	-595.823653	22.723129	42.496000	0.000000		159.528698	NaN
14.420000	108.488877	4.683621	-595.823653	-595.823653	22.723129	42.496000	0.000000		159.519818	NaN
14.920000	108.291964	4.675120	-595.823653	-595.823653	22.732080	42.496000	0.000000		159.519818	NaN
15.420000	108.095051	4.666619	-595.823653	-595.823653	22.745507	42.496000	0.000000		159.510938	NaN
15.920000	108.055668	4.664919	-595.823653	-595.823653	22.745507	42.496000	0.000000		159.519818	NaN
16.420000	107.819372	4.654718	-595.823653	-595.823653	22.767886	42.496000	0.000000		159.510938	NaN
16.920000	107.583076	4.644516	-595.823653	-595.823653	22.763410	42.496000	0.000000		159.519818	NaN
17.420000	107.504311	4.641116	-595.823653	-595.823653	22.772362	42.496000	0.000000		159.510938	NaN
17.920000	107.386163	4.636015	-595.823653	-595.823653	22.772362	42.496000	0.000000		159.528698	NaN
18.420000	107.110484	4.624114	-595.823653	-595.823653	22.772362	42.496000	0.000000		159.528698	NaN
18.920000	107.149867	4.625814	-595.823653	-595.823653	22.781313	42.496000	0.000000		159.519818	NaN
19.420000	106.952954	4.617313	-595.823653	-595.823653	22.799216	42.496000	0.000000		159.519818	NaN
19.920000	106.677275	4.605412	-595.823653	-595.823653	22.790264	42.496000	0.000000		159.519818	NaN
20.420000	106.598510	4.602011	-595.823653	-595.823653	22.808167	42.496000	0.000000		159.519818	NaN
20.920000	106.519745	4.598611	-595.823653	-595.823653	22.812643	42.496000	0.000000		159.519818	NaN
21.420000	106.244066	4.586709	-595.823653	-595.823653	22.803691	42.496000	0.000000		159.519818	NaN
21.920000	106.125918	4.581609	-595.823653	-595.823653	22.808167	42.496000	0.000000		159.528698	NaN
22.420000	105.929005	4.573108	-595.823653	-595.823653	22.812643	42.496000	0.000000		159.519818	NaN
22.920000	105.850239	4.569707	-595.823653	-595.823653	22.821594	42.496000	0.000000		159.519818	NaN
23.420000	105.653326	4.561206	-595.823653	-595.823653	22.826070	42.496000	0.000000		159.519818	NaN
23.920000	105.456413	4.552705	-595.823653	-595.823653	22.826070	42.496000	0.000000		159.519818	NaN
24.420000	105.377648	4.549305	-595.823653	-595.823653	22.830546	42.496000	0.000000		159.519818	NaN
24.920000	105.180734	4.540804	-595.823653	-595.823653	22.839497	42.496000	0.000000		159.519818	NaN
25.420000	105.062586	4.535703	-595.823653	-595.823653	22.839497	42.496000	0.000000		159.519818	NaN
25.920000	104.983821	4.532303	-595.823653	-595.823653	22.843973	42.496000	0.000000		159.502058	NaN
26.420000	104.708143	4.520401	-595.823653	-595.823653	22.848448	42.496000	0.000000		159.519818	NaN
26.920000	104.511229	4.511900	-595.823653	-595.823653	22.857400	42.496000	0.000000		159.510938	NaN
27.420000	104.511229	4.511900	-595.823653	-595.823653	22.861876	42.496000	0.000000		159.519818	NaN
27.920000	104.235551	4.499999	-595.823653	-595.823653	22.866351	42.496000	0.000000		159.519818	NaN
28.420000	104.038638	4.491498	-595.823653	-595.823653	22.875303	42.496000	0.000000		159.519818	NaN
28.920000	104.038638	4.491498	-595.823653	-595.823653	22.884254	42.496000	0.000000		159.519818	NaN
29.420000	103.802342	4.481297	-595.823653	-595.823653	22.884254	42.496000	0.000000		159.510938	NaN
29.920000	103.605428	4.472796	-595.823653	-595.823653	22.888730	42.496000	0.000000		159.510938	NaN
30.420000	103.605428	4.472796	-595.823653	-595.823653	22.893206	42.496000	0.000000		159.510938	NaN
30.920000	103.408515	4.464295	-595.823653	-595.823653	22.884254	42.496000	0.000000		159.519818	NaN
31.420000	103.172219	4.454093	-595.823653	-595.823653	22.893206	42.496000	0.000000		159.519818	NaN
31.920000	103.132837	4.452393	-595.823653	-595.823653	22.897681	42.496000	0.000000		159.502058	NaN
32.420000	102.935923	4.443892	-595.823653	-595.823653	22.897681	42.496000	0.000000		159.510938	NaN
32.920000	102.699627	4.433691	-595.823653	-595.823653	22.906633	42.496000	0.000000		159.510938	NaN
33.420000	102.581480	4.428590	-595.823653	-595.823653	22.906633	42.496000	0.000000		159.519818	NaN
33.920000	102.463332	4.423490	-595.823653	-595.823653	22.915584	42.496000	0.000000		159.510938	NaN
34.420000	102.305801	4.416689	-595.823653	-595.823653	22.929011	42.496000	0.000000		159.519818	NaN
34.920000	101.990740	4.403087	-595.823653	-595.823653	22.929011	42.496000	0.000000		159.510938	NaN
35.420000	102.030122	4.404787	-595.823653	-595.823653	22.929011	42.496000	0.000000		159.510938	NaN
35.920000	101.793827	4.394586	-595.823653	-595.823653	22.929011	42.496000	0.000000		159.510938	NaN
36.420000	101.636296	4.387785	-595.823653	-595.823653	22.933487	42.496000	0.000000		159.510938	NaN
36.920000	101.596913	4.386085	-595.823653	-595.823653	22.937963	42.496000	0.000000		159.502058	NaN
37.420000	101.360617	4.375884	-595.823653	-595.823653	22.937963	42.496000	0.000000		159.510938	NaN
37.920000	101.203087	4.369083	-595.823653	-595.823653	22.946914	42.496000	0.000000		159.510938	NaN
38.420000	101.163704	4.367383	-595.823653	-595.823653	22.951390	42.496000	0.000000		159.510938	NaN
38.920000	100.966791	4.358882	-595.823653	-595.823653	22.955865	42.496000	0.000000		159.484297	NaN
39.420000	100.691112	4.346980	-595.823653	-595.823653	22.969292	42.496000	0.000000		159.510938	NaN
39.920000	100.691112	4.346980	-595.823653	-595.823653	22.973768	42.496000	0.000000		159.502058	NaN
40.420000	100.494199	4.338479	-595.823653	-595.823653	22.982719	42.496000	0.000000		159.502058	NaN
40.920000	100.257903	4.328278	-595.823653	-595.823653	22.906633	42.496000	0.000000		159.502058	NaN
41.420000	100.179138	4.324878	-595.823653	-595.823653	22.946914	42.496000	0.000000		159.502058	NaN
41.920000	100.021607	4.318077	-595.823653	-595.823653	22.982719	42.496000	0.000000		159.510938	NaN
42.420000	99.824694	4.309576	-595.823653	-595.823653	22.982719	42.496000	0.000000		159.510938	NaN
42.920000	99.824694	4.309576	-595.823653	-595.823653	22.996147	42.496000	0.000000		159.502058	NaN
43.420000	99.549015	4.297674	-595.823653	-595.823653	22.991671	42.496000	0.000000		159.493177	NaN
43.920000	99.352102	4.289173	-595.823653	-595.823653	22.982719	42.496000	0.000000		159.493177	NaN
44.420000	99.312720	4.287473	-595.823653	-595.823653	22.991671	42.496000	0.000000		159.502058	NaN
44.920000	99.115806	4.278972	-595.823653	-595.823653	23.018525	42.496000	0.000000		159.493177	NaN
45.420000	98.958276	4.272171	-595.823653	-595.823653	23.018525	42.496000	0.000000		159.493177	NaN
45.920000	98.958276	4.272171	-595.823653	-595.823653	23.005098	42.496000	0.000000		159.493177	NaN
46.420000	98.682597	4.260270	-595.823653	-595.823653	23.018525	42.496000	0.000000		159.493177	NaN
46.920000	98.485684	4.251769	-595.823653	-595.823653	23.036428	42.496000	0.000000		159.484297	NaN
47.420000	98.406919	4.248368	-595.823653	-595.823653	23.005098	42.496000	0.000000		159.493177	NaN
47.920000	98.288771	4.243268	-595.823653	-595.823653	23.023001	42.496000	0.000000		159.484297	NaN
48.420000	98.013092	4.231366	-595.823653	-595.823653	23.009574	42.496000	0.000000		159.493177	NaN
48.920000	97.973709	4.229666	-595.823653	-595.823653	23.014049	42.496000	0.000000		159.484297	NaN
49.420000	97.855561	4.224566	-595.823653	-595.823653	23.023001	42.496000	0.000000		159.493177	NaN
49.920000	97.619266	4.214364	-595.823653	-595.823653	23.036428	42.496000	0.000000		159.484297	NaN
50.420000	97.501118	4.209264	-595.823653	-595.823653	23.040904	42.496000	0.000000		159.484297	NaN
50.920000	97.382970	4.204163	-595.823653	-595.823653	23.031952	42.496000	0.000000		159.484297	NaN
51.420000	97.107291	4.192262	-595.823653	-595.823653	23.054331	42.496000	0.000000		159.484297	NaN
51.920000	97.107291	4.192262	-595.823653	-595.823653	23.040904	42.496000	0.000000		159.475417	NaN
52.420000	96.910378	4.183761	-595.823653	-595.823653	23.054331	42.496000	0.000000		159.475417	NaN
52.920000	96.674082	4.173559	-595.823653	-595.823653	23.072233	42.496000	0.000000		159.484297	NaN
53.420000	96.516551	4.166759	-595.823653	-595.823653	23.067758	42.496000	0.000000		159.475417	NaN
53.920000	96.437786	4.163358	-595.823653	-595.823653	23.076709	42.496000	0.000000		159.475417	NaN
54.420000	96.240873	4.154857	-595.823653	-595.823653	23.081185	42.496000	0.000000		159.475417	NaN
54.920000	96.201490	4.153157	-595.823653	-595.823653	23.090136	42.496000	0.000000		159.475417	NaN
55.420000	96.004577	4.144656	-595.823653	-595.823653	23.099088	42.496000	0.000000		159.466537	NaN
55.920000	95.807664	4.136155	-595.823653	-595.823653	23.099088	42.496000	0.000000		159.475417	NaN
56.420000	95.728898	4.132754	-595.823653	-595.823653	23.094612	42.496000	0.000000		159.466537	NaN
56.920000	95.571368	4.125954	-595.823653	-595.823653	23.094612	42.496000	0.000000		159.466537	NaN
57.420000	95.374454	4.117453	-595.823653	-595.823653	23.099088	42.496000	0.000000		159.466537	NaN
57.920000	95.335072	4.115752	-595.823653	-595.823653	23.099088	42.496000	0.000000		159.466537	NaN
58.420000	95.177541	4.108952	-595.823653	-595.823653	23.094612	42.496000	0.000000		159.466537	NaN
58.920000	94.941245	4.098750	-595.823653	-595.823653	23.103563	42.496000	0.000000		159.466537	NaN
59.420000	94.901863	4.097050	-595.823653	-595.823653	23.112515	42.496000	0.000000		159.457656	NaN
59.920000	94.665567	4.086849	-595.823653	-595.823653	23.112515	42.496000	0.000000		159.448776	NaN
60.420000	94.429271	4.076648	-595.823653	-595.823653	23.125942	42.496000	0.000000		159.466537	NaN
60.920000	94.468654	4.078348	-595.823653	-595.823653	23.125942	42.496000	0.000000		159.457656	NaN
61.420000	94.232358	4.068147	-595.823653	-595.823653	23.134893	42.496000	0.000000		159.439896	NaN
61.920000	94.035444	4.059646	-595.823653	-595.823653	23.134893	42.496000	0.000000		159.448776	NaN
62.420000	94.035444	4.059646	-595.823653	-595.823653	23.125942	42.496000	0.000000		159.448776	NaN
62.920000	93.759766	4.047744	-595.823653	-595.823653	23.139369	42.496000	0.000000		159.448776	NaN
63.420000	93.759766	4.047744	-595.823653	-595.823653	23.134893	42.496000	0.000000		159.448776	NaN
63.920000	93.602235	4.040943	-595.823653	-595.823653	23.139369	42.496000	0.000000		159.448776	NaN
64.420000	93.365939	4.030742	-595.823653	-595.823653	23.139369	42.496000	0.000000		159.448776	NaN
64.920000	93.326557	4.029042	-595.823653	-595.823653	23.134893	42.496000	0.000000		159.431016	NaN
65.420000	93.129643	4.020541	-595.823653	-595.823653	23.134893	42.496000	0.000000		159.439896	NaN
65.920000	93.090261	4.018841	-595.823653	-595.823653	23.139369	42.496000	0.000000		159.439896	NaN
66.420000	92.932730	4.012040	-595.823653	-595.823653	23.143845	42.496000	0.000000		159.431016	NaN
66.920000	92.696434	4.001839	-595.823653	-595.823653	23.143845	42.496000	0.000000		159.431016	NaN
67.420000	92.696434	4.001839	-595.823653	-595.823653	23.152796	42.496000	0.000000		159.431016	NaN
67.920000	92.460138	3.991637	-595.823653	-595.823653	23.148320	42.496000	0.000000		159.431016	NaN
68.420000	92.420756	3.989937	-595.823653	-595.823653	23.148320	42.496000	0.000000		159.439896	NaN
68.920000	92.223842	3.981436	-595.823653	-595.823653	23.148320	42.496000	0.000000		159.431016	NaN
69.420000	91.987547	3.971235	-595.823653	-595.823653	23.152796	42.496000	0.000000		159.422136	NaN
69.920000	91.948164	3.969535	-595.823653	-595.823653	23.152796	42.496000	0.000000		159.422136	NaN
70.420000	91.790633	3.962734	-595.823653	-595.823653	23.152796	42.496000	0.000000		159.422136	NaN
70.920000	91.593720	3.954233	-595.823653	-595.823653	23.152796	42.496000	0.000000		159.422136	NaN
71.420000	91.593720	3.954233	-595.823653	-595.823653	23.143845	42.496000	0.000000		159.422136	NaN
71.920000	91.357424	3.944032	-595.823653	-595.823653	23.179650	42.496000	0.000000		159.422136	NaN
72.420000	91.278659	3.940631	-595.823653	-595.823653	23.148320	42.496000	0.000000		159.422136	NaN
72.920000	91.121128	3.933830	-595.823653	-595.823653	23.157272	42.496000	0.000000		159.422136	NaN
73.420000	90.924215	3.925329	-595.823653	-595.823653	23.148320	42.496000	0.000000		159.413255	NaN
73.920000	90.884832	3.923629	-595.823653	-595.823653	23.179650	42.496000	0.000000		159.413255	NaN
74.420000	90.687919	3.915128	-595.823653	-595.823653	23.161748	42.496000	0.000000		159.413255	NaN
74.920000	90.609154	3.911728	-595.823653	-595.823653	23.170699	42.496000	0.000000		159.413255	NaN
75.420000	90.491006	3.906627	-595.823653	-595.823653	23.170699	42.496000	0.000000		159.404375	NaN
75.920000	90.412241	3.903227	-595.823653	-595.823653	23.143845	42.496000	0.000000		159.404375	NaN
76.420000	90.254710	3.896426	-595.823653	-595.823653	23.184126	42.496000	0.000000		159.404375	NaN
