Time,secs	AreaA,cm	AreaA,A	Unused    	Unused    	PiA,mN/m	Unused    	Unused    	Unused    	Unused    	Unused    
0.620000	111.206280	4.800935	-595.823653	-595.823653	23.202029	42.496000	0.000000		160.301278	NaN
1.120000	111.166897	4.799235	-595.823653	-595.823653	23.197553	42.496000	0.000000		160.310158	NaN
1.620000	111.206280	4.800935	-595.823653	-595.823653	23.193077	42.496000	0.000000		160.301278	NaN
2.120000	111.206280	4.800935	-595.823653	-595.823653	23.193077	42.496000	0.000000		160.310158	NaN
2.620000	111.206280	4.800935	-595.823653	-595.823653	23.184126	42.496000	0.000000		160.301278	NaN
3.120000	111.245663	4.802635	-595.823653	-595.823653	23.170699	42.496000	0.000000		160.301278	NaN
3.620000	111.206280	4.800935	-595.823653	-595.823653	23.170699	42.496000	0.000000		160.310158	NaN
4.120000	111.245663	4.802635	-595.823653	-595.823653	23.161748	42.496000	0.000000		160.310158	NaN
4.620000	111.206280	4.800935	-595.823653	-595.823653	23.161748	42.496000	0.000000		160.310158	NaN
5.120000	111.206280	4.800935	-595.823653	-595.823653	23.157272	42.496000	0.000000		160.301278	NaN
5.620000	111.206280	4.800935	-595.823653	-595.823653	23.148320	42.496000	0.000000		160.301278	NaN
6.120000	111.245663	4.802635	-595.823653	-595.823653	23.157272	42.496000	0.000000		160.301278	NaN
6.620000	111.206280	4.800935	-595.823653	-595.823653	23.152796	42.496000	0.000000		160.283517	NaN
7.120000	111.206280	4.800935	-595.823653	-595.823653	23.143845	42.496000	0.000000		160.310158	NaN
7.620000	110.930601	4.789034	-595.823653	-595.823653	23.188602	42.496000	0.000000		160.310158	NaN
8.120000	110.969984	4.790734	-595.823653	-595.823653	23.215456	42.496000	0.000000		160.310158	NaN
8.620000	110.733688	4.780533	-595.823653	-595.823653	23.228883	42.496000	0.000000		160.301278	NaN
9.120000	110.576158	4.773732	-595.823653	-595.823653	23.255737	42.496000	0.000000		160.301278	NaN
9.620000	110.576158	4.773732	-595.823653	-595.823653	23.278116	42.496000	0.000000		160.301278	NaN
10.120000	110.379244	4.765231	-595.823653	-595.823653	23.287067	42.496000	0.000000		160.310158	NaN
10.620000	110.339862	4.763531	-595.823653	-595.823653	23.291543	42.496000	0.000000		160.283517	NaN
11.120000	110.182331	4.756730	-595.823653	-595.823653	23.390008	42.496000	0.000000		160.310158	NaN
11.620000	110.103566	4.753330	-595.823653	-595.823653	23.381057	42.496000	0.000000		160.310158	NaN
12.120000	109.906652	4.744829	-595.823653	-595.823653	23.372105	42.496000	0.000000		160.301278	NaN
12.620000	109.906652	4.744829	-595.823653	-595.823653	23.385533	42.496000	0.000000		160.310158	NaN
13.120000	109.749122	4.738028	-595.823653	-595.823653	23.439241	42.496000	0.000000		160.301278	NaN
13.620000	109.630974	4.732927	-595.823653	-595.823653	23.434765	42.496000	0.000000		160.310158	NaN
14.120000	109.552209	4.729527	-595.823653	-595.823653	23.430290	42.496000	0.000000		160.292398	NaN
14.620000	109.434061	4.724426	-595.823653	-595.823653	23.483998	42.496000	0.000000		160.301278	NaN
15.120000	109.434061	4.724426	-595.823653	-595.823653	23.483998	42.496000	0.000000		160.301278	NaN
15.620000	109.276530	4.717625	-595.823653	-595.823653	23.479522	42.496000	0.000000		160.292398	NaN
16.120000	109.158382	4.712525	-595.823653	-595.823653	23.492949	42.496000	0.000000		160.301278	NaN
16.620000	109.118999	4.710824	-595.823653	-595.823653	23.510852	42.496000	0.000000		160.292398	NaN
17.120000	108.961469	4.704024	-595.823653	-595.823653	23.510852	42.496000	0.000000		160.310158	NaN
17.620000	108.961469	4.704024	-595.823653	-595.823653	23.510852	42.496000	0.000000		160.301278	NaN
18.120000	108.882704	4.700623	-595.823653	-595.823653	23.569036	42.496000	0.000000		160.292398	NaN
18.620000	108.764556	4.695523	-595.823653	-595.823653	23.564560	42.496000	0.000000		160.283517	NaN
19.120000	108.725173	4.693822	-595.823653	-595.823653	23.569036	42.496000	0.000000		160.301278	NaN
19.620000	108.528260	4.685321	-595.823653	-595.823653	23.604842	42.496000	0.000000		160.301278	NaN
20.120000	108.528260	4.685321	-595.823653	-595.823653	23.613793	42.496000	0.000000		160.292398	NaN
20.620000	108.449494	4.681921	-595.823653	-595.823653	23.613793	42.496000	0.000000		160.292398	NaN
21.120000	108.291964	4.675120	-595.823653	-595.823653	23.636172	42.496000	0.000000		160.292398	NaN
21.620000	108.331346	4.676820	-595.823653	-595.823653	23.631696	42.496000	0.000000		160.292398	NaN
22.120000	108.331346	4.676820	-595.823653	-595.823653	23.658550	42.496000	0.000000		160.301278	NaN
22.620000	108.055668	4.664919	-595.823653	-595.823653	23.663026	42.496000	0.000000		160.292398	NaN
23.120000	108.095051	4.666619	-595.823653	-595.823653	23.667502	42.496000	0.000000		160.283517	NaN
23.620000	108.095051	4.666619	-595.823653	-595.823653	23.676453	42.496000	0.000000		160.292398	NaN
24.120000	107.898137	4.658118	-595.823653	-595.823653	23.698832	42.496000	0.000000		160.301278	NaN
24.620000	107.858755	4.656418	-595.823653	-595.823653	23.707783	42.496000	0.000000		160.274637	NaN
25.120000	107.819372	4.654718	-595.823653	-595.823653	23.721210	42.496000	0.000000		160.292398	NaN
25.620000	107.819372	4.654718	-595.823653	-595.823653	23.725686	42.496000	0.000000		160.301278	NaN
26.120000	107.740607	4.651317	-595.823653	-595.823653	23.734637	42.496000	0.000000		160.292398	NaN
26.620000	107.622459	4.646217	-595.823653	-595.823653	23.743589	42.496000	0.000000		160.301278	NaN
27.120000	107.661841	4.647917	-595.823653	-595.823653	23.743589	42.496000	0.000000		160.283517	NaN
27.620000	107.622459	4.646217	-595.823653	-595.823653	23.757016	42.496000	0.000000		160.274637	NaN
28.120000	107.504311	4.641116	-595.823653	-595.823653	23.765967	42.496000	0.000000		160.283517	NaN
28.620000	107.425546	4.637716	-595.823653	-595.823653	23.774918	42.496000	0.000000		160.274637	NaN
29.120000	107.464928	4.639416	-595.823653	-595.823653	23.783870	42.496000	0.000000		160.292398	NaN
29.620000	107.425546	4.637716	-595.823653	-595.823653	23.783870	42.496000	0.000000		160.292398	NaN
30.120000	107.386163	4.636015	-595.823653	-595.823653	23.797297	42.496000	0.000000		160.283517	NaN
30.620000	107.189250	4.627514	-595.823653	-595.823653	23.801773	42.496000	0.000000		160.283517	NaN
31.120000	107.189250	4.627514	-595.823653	-595.823653	23.806248	42.496000	0.000000		160.283517	NaN
31.620000	107.189250	4.627514	-595.823653	-595.823653	23.815200	42.496000	0.000000		160.283517	NaN
32.120000	107.189250	4.627514	-595.823653	-595.823653	23.819675	42.496000	0.000000		160.283517	NaN
32.620000	107.110484	4.624114	-595.823653	-595.823653	23.824151	42.496000	0.000000		160.292398	NaN
33.120000	106.992336	4.619013	-595.823653	-595.823653	23.842054	42.496000	0.000000		160.292398	NaN
33.620000	106.952954	4.617313	-595.823653	-595.823653	23.837578	42.496000	0.000000		160.283517	NaN
34.120000	106.952954	4.617313	-595.823653	-595.823653	23.851005	42.496000	0.000000		160.283517	NaN
34.620000	106.913571	4.615613	-595.823653	-595.823653	23.846530	42.496000	0.000000		160.283517	NaN
35.120000	106.874188	4.613913	-595.823653	-595.823653	23.855481	42.496000	0.000000		160.283517	NaN
35.620000	106.795423	4.610512	-595.823653	-595.823653	23.859957	42.496000	0.000000		160.292398	NaN
36.120000	106.756040	4.608812	-595.823653	-595.823653	23.868908	42.496000	0.000000		160.283517	NaN
36.620000	106.716658	4.607112	-595.823653	-595.823653	23.873384	42.496000	0.000000		160.283517	NaN
37.120000	106.756040	4.608812	-595.823653	-595.823653	23.873384	42.496000	0.000000		160.274637	NaN
37.620000	106.756040	4.608812	-595.823653	-595.823653	23.873384	42.496000	0.000000		160.274637	NaN
38.120000	106.598510	4.602011	-595.823653	-595.823653	23.882335	42.496000	0.000000		160.283517	NaN
38.620000	106.519745	4.598611	-595.823653	-595.823653	23.882335	42.496000	0.000000		160.283517	NaN
39.120000	106.519745	4.598611	-595.823653	-595.823653	23.882335	42.496000	0.000000		160.274637	NaN
39.620000	106.559127	4.600311	-595.823653	-595.823653	23.886811	42.496000	0.000000		160.283517	NaN
40.120000	106.480362	4.596911	-595.823653	-595.823653	23.886811	42.496000	0.000000		160.274637	NaN
40.620000	106.480362	4.596911	-595.823653	-595.823653	23.895762	42.496000	0.000000		160.274637	NaN
41.120000	106.519745	4.598611	-595.823653	-595.823653	23.895762	42.496000	0.000000		160.265757	NaN
41.620000	106.401597	4.593510	-595.823653	-595.823653	23.900238	42.496000	0.000000		160.274637	NaN
42.120000	106.322831	4.590110	-595.823653	-595.823653	23.913665	42.496000	0.000000		160.274637	NaN
42.620000	106.283449	4.588410	-595.823653	-595.823653	23.895762	42.496000	0.000000		160.274637	NaN
43.120000	106.283449	4.588410	-595.823653	-595.823653	23.922617	42.496000	0.000000		160.256877	NaN
43.620000	106.322831	4.590110	-595.823653	-595.823653	23.918141	42.496000	0.000000		160.265757	NaN
44.120000	106.283449	4.588410	-595.823653	-595.823653	23.918141	42.496000	0.000000		160.265757	NaN
44.620000	106.244066	4.586709	-595.823653	-595.823653	23.927092	42.496000	0.000000		160.274637	NaN
45.120000	106.165301	4.583309	-595.823653	-595.823653	23.931568	42.496000	0.000000		160.274637	NaN
45.620000	106.086535	4.579909	-595.823653	-595.823653	23.922617	42.496000	0.000000		160.274637	NaN
46.120000	106.047153	4.578208	-595.823653	-595.823653	23.927092	42.496000	0.000000		160.265757	NaN
46.620000	106.086535	4.579909	-595.823653	-595.823653	23.944995	42.496000	0.000000		160.265757	NaN
47.120000	106.086535	4.579909	-595.823653	-595.823653	23.927092	42.496000	0.000000		160.274637	NaN
47.620000	106.047153	4.578208	-595.823653	-595.823653	23.967374	42.496000	0.000000		160.274637	NaN
48.120000	105.968387	4.574808	-595.823653	-595.823653	23.949471	42.496000	0.000000		160.265757	NaN
48.620000	105.929005	4.573108	-595.823653	-595.823653	23.944995	42.496000	0.000000		160.265757	NaN
49.120000	105.889622	4.571408	-595.823653	-595.823653	23.962898	42.496000	0.000000		160.256877	NaN
49.620000	105.850239	4.569707	-595.823653	-595.823653	23.958422	42.496000	0.000000		160.265757	NaN
50.120000	105.850239	4.569707	-595.823653	-595.823653	23.958422	42.496000	0.000000		160.265757	NaN
50.620000	105.889622	4.571408	-595.823653	-595.823653	23.967374	42.496000	0.000000		160.265757	NaN
51.120000	105.889622	4.571408	-595.823653	-595.823653	23.967374	42.496000	0.000000		160.265757	NaN
51.620000	105.889622	4.571408	-595.823653	-595.823653	23.967374	42.496000	0.000000		160.265757	NaN
52.120000	105.850239	4.569707	-595.823653	-595.823653	23.962898	42.496000	0.000000		160.265757	NaN
52.620000	105.732092	4.564607	-595.823653	-595.823653	23.967374	42.496000	0.000000		160.265757	NaN
53.120000	105.692709	4.562906	-595.823653	-595.823653	23.967374	42.496000	0.000000		160.247997	NaN
53.620000	105.653326	4.561206	-595.823653	-595.823653	23.967374	42.496000	0.000000		160.256877	NaN
54.120000	105.653326	4.561206	-595.823653	-595.823653	23.967374	42.496000	0.000000		160.265757	NaN
54.620000	105.613944	4.559506	-595.823653	-595.823653	23.967374	42.496000	0.000000		160.256877	NaN
55.120000	105.653326	4.561206	-595.823653	-595.823653	23.967374	42.496000	0.000000		160.247997	NaN
55.620000	105.653326	4.561206	-595.823653	-595.823653	23.971849	42.496000	0.000000		160.247997	NaN
56.120000	105.653326	4.561206	-595.823653	-595.823653	23.962898	42.496000	0.000000		160.247997	NaN
56.620000	105.574561	4.557806	-595.823653	-595.823653	23.976325	42.496000	0.000000		160.247997	NaN
57.120000	105.456413	4.552705	-595.823653	-595.823653	23.971849	42.496000	0.000000		160.239116	NaN
57.620000	105.377648	4.549305	-595.823653	-595.823653	23.980801	42.496000	0.000000		160.247997	NaN
58.120000	105.417030	4.551005	-595.823653	-595.823653	23.985276	42.496000	0.000000		160.256877	NaN
58.620000	105.417030	4.551005	-595.823653	-595.823653	23.989752	42.496000	0.000000		160.247997	NaN
59.120000	105.417030	4.551005	-595.823653	-595.823653	23.989752	42.496000	0.000000		160.247997	NaN
59.620000	105.417030	4.551005	-595.823653	-595.823653	23.985276	42.496000	0.000000		160.247997	NaN
60.120000	105.338265	4.547605	-595.823653	-595.823653	23.985276	42.496000	0.000000		160.247997	NaN
60.620000	105.417030	4.551005	-595.823653	-595.823653	23.998703	42.496000	0.000000		160.247997	NaN
61.120000	105.417030	4.551005	-595.823653	-595.823653	23.998703	42.496000	0.000000		160.256877	NaN
61.620000	105.417030	4.551005	-595.823653	-595.823653	24.003179	42.496000	0.000000		160.247997	NaN
62.120000	105.338265	4.547605	-595.823653	-595.823653	24.003179	42.496000	0.000000		160.247997	NaN
62.620000	105.298882	4.545904	-595.823653	-595.823653	24.007655	42.496000	0.000000		160.247997	NaN
63.120000	105.259500	4.544204	-595.823653	-595.823653	24.007655	42.496000	0.000000		160.239116	NaN
63.620000	105.220117	4.542504	-595.823653	-595.823653	24.003179	42.496000	0.000000		160.239116	NaN
64.120000	105.259500	4.544204	-595.823653	-595.823653	24.012131	42.496000	0.000000		160.239116	NaN
64.620000	105.180734	4.540804	-595.823653	-595.823653	24.016606	42.496000	0.000000		160.247997	NaN
65.120000	105.220117	4.542504	-595.823653	-595.823653	24.012131	42.496000	0.000000		160.247997	NaN
65.620000	105.220117	4.542504	-595.823653	-595.823653	24.025558	42.496000	0.000000		160.239116	NaN
66.120000	105.220117	4.542504	-595.823653	-595.823653	24.021082	42.496000	0.000000		160.239116	NaN
66.620000	105.141352	4.539104	-595.823653	-595.823653	24.021082	42.496000	0.000000		160.247997	NaN
67.120000	105.220117	4.542504	-595.823653	-595.823653	24.016606	42.496000	0.000000		160.239116	NaN
67.620000	105.220117	4.542504	-595.823653	-595.823653	24.021082	42.496000	0.000000		160.247997	NaN
68.120000	105.141352	4.539104	-595.823653	-595.823653	24.021082	42.496000	0.000000		160.230236	NaN
68.620000	105.101969	4.537403	-595.823653	-595.823653	24.016606	42.496000	0.000000		160.230236	NaN
69.120000	104.944439	4.530603	-595.823653	-595.823653	24.021082	42.496000	0.000000		160.239116	NaN
69.620000	104.944439	4.530603	-595.823653	-595.823653	24.021082	42.496000	0.000000		160.239116	NaN
70.120000	104.944439	4.530603	-595.823653	-595.823653	24.016606	42.496000	0.000000		160.230236	NaN
70.620000	104.983821	4.532303	-595.823653	-595.823653	24.025558	42.496000	0.000000		160.221356	NaN
71.120000	104.944439	4.530603	-595.823653	-595.823653	24.025558	42.496000	0.000000		160.230236	NaN
71.620000	104.983821	4.532303	-595.823653	-595.823653	24.030033	42.496000	0.000000		160.230236	NaN
72.120000	104.944439	4.530603	-595.823653	-595.823653	24.030033	42.496000	0.000000		160.221356	NaN
72.620000	104.944439	4.530603	-595.823653	-595.823653	24.030033	42.496000	0.000000		160.221356	NaN
73.120000	104.944439	4.530603	-595.823653	-595.823653	24.030033	42.496000	0.000000		160.239116	NaN
73.620000	104.944439	4.530603	-595.823653	-595.823653	24.034509	42.496000	0.000000		160.212476	NaN
74.120000	104.865673	4.527202	-595.823653	-595.823653	24.038985	42.496000	0.000000		160.230236	NaN
74.620000	104.826291	4.525502	-595.823653	-595.823653	24.034509	42.496000	0.000000		160.221356	NaN
75.120000	104.826291	4.525502	-595.823653	-595.823653	24.043460	42.496000	0.000000		160.230236	NaN
