Time,secs	AreaA,cm	AreaA,A	Unused    	Unused    	PiA,mN/m	Unused    	Unused    	Unused    	Unused    	Unused    
0.220000	111.245663	4.802635	-595.823653	-595.823653	23.242310	42.496000	0.000000		157.024475	NaN
0.720000	111.206280	4.800935	-595.823653	-595.823653	23.242310	42.496000	0.000000		157.042235	NaN
1.220000	111.245663	4.802635	-595.823653	-595.823653	23.255737	42.496000	0.000000		157.042235	NaN
1.720000	111.245663	4.802635	-595.823653	-595.823653	23.255737	42.496000	0.000000		157.033355	NaN
2.220000	111.245663	4.802635	-595.823653	-595.823653	23.255737	42.496000	0.000000		157.051115	NaN
2.720000	111.166897	4.799235	-595.823653	-595.823653	23.278116	42.496000	0.000000		157.051115	NaN
3.220000	111.206280	4.800935	-595.823653	-595.823653	23.304970	42.496000	0.000000		157.042235	NaN
3.720000	110.969984	4.790734	-595.823653	-595.823653	23.313921	42.496000	0.000000		157.051115	NaN
4.220000	110.930601	4.789034	-595.823653	-595.823653	23.331824	42.496000	0.000000		157.051115	NaN
4.720000	110.733688	4.780533	-595.823653	-595.823653	23.349727	42.496000	0.000000		157.059996	NaN
5.220000	110.773071	4.782233	-595.823653	-595.823653	23.363154	42.496000	0.000000		157.051115	NaN
5.720000	110.497392	4.770332	-595.823653	-595.823653	23.381057	42.496000	0.000000		157.051115	NaN
6.220000	110.536775	4.772032	-595.823653	-595.823653	23.385533	42.496000	0.000000		157.059996	NaN
6.720000	110.339862	4.763531	-595.823653	-595.823653	23.403435	42.496000	0.000000		157.059996	NaN
7.220000	110.300479	4.761831	-595.823653	-595.823653	23.412387	42.496000	0.000000		157.051115	NaN
7.720000	110.103566	4.753330	-595.823653	-595.823653	23.430290	42.496000	0.000000		157.059996	NaN
8.220000	110.103566	4.753330	-595.823653	-595.823653	23.439241	42.496000	0.000000		157.059996	NaN
8.720000	109.946035	4.746529	-595.823653	-595.823653	23.470571	42.496000	0.000000		157.068876	NaN
9.220000	109.906652	4.744829	-595.823653	-595.823653	23.475047	42.496000	0.000000		157.068876	NaN
9.720000	109.827887	4.741428	-595.823653	-595.823653	23.483998	42.496000	0.000000		157.059996	NaN
10.220000	109.630974	4.732927	-595.823653	-595.823653	23.488474	42.496000	0.000000		157.068876	NaN
10.720000	109.630974	4.732927	-595.823653	-595.823653	23.483998	42.496000	0.000000		157.068876	NaN
11.220000	109.434061	4.724426	-595.823653	-595.823653	23.519803	42.496000	0.000000		157.077756	NaN
11.720000	109.434061	4.724426	-595.823653	-595.823653	23.497425	42.496000	0.000000		157.077756	NaN
12.220000	109.394678	4.722726	-595.823653	-595.823653	23.537706	42.496000	0.000000		157.068876	NaN
12.720000	109.158382	4.712525	-595.823653	-595.823653	23.466095	42.496000	0.000000		157.068876	NaN
13.220000	109.197765	4.714225	-595.823653	-595.823653	23.506376	42.496000	0.000000		157.077756	NaN
13.720000	109.079617	4.709124	-595.823653	-595.823653	23.542182	42.496000	0.000000		157.077756	NaN
14.220000	108.922086	4.702323	-595.823653	-595.823653	23.510852	42.496000	0.000000		157.077756	NaN
14.720000	108.961469	4.704024	-595.823653	-595.823653	23.631696	42.496000	0.000000		157.077756	NaN
15.220000	108.764556	4.695523	-595.823653	-595.823653	23.555609	42.496000	0.000000		157.077756	NaN
15.720000	108.764556	4.695523	-595.823653	-595.823653	23.533231	42.496000	0.000000		157.086636	NaN
16.220000	108.646408	4.690422	-595.823653	-595.823653	23.524279	42.496000	0.000000		157.086636	NaN
16.720000	108.528260	4.685321	-595.823653	-595.823653	23.537706	42.496000	0.000000		157.086636	NaN
17.220000	108.528260	4.685321	-595.823653	-595.823653	23.752540	42.496000	0.000000		157.086636	NaN
17.720000	108.291964	4.675120	-595.823653	-595.823653	23.765967	42.496000	0.000000		157.095517	NaN
18.220000	108.291964	4.675120	-595.823653	-595.823653	23.533231	42.496000	0.000000		157.095517	NaN
18.720000	108.331346	4.676820	-595.823653	-595.823653	23.524279	42.496000	0.000000		157.095517	NaN
19.220000	108.173816	4.670019	-595.823653	-595.823653	23.560085	42.496000	0.000000		157.086636	NaN
19.720000	108.095051	4.666619	-595.823653	-595.823653	23.627220	42.496000	0.000000		157.095517	NaN
20.220000	108.134433	4.668319	-595.823653	-595.823653	23.663026	42.496000	0.000000		157.086636	NaN
20.720000	107.858755	4.656418	-595.823653	-595.823653	23.645123	42.496000	0.000000		157.095517	NaN
21.220000	107.898137	4.658118	-595.823653	-595.823653	23.618269	42.496000	0.000000		157.095517	NaN
21.720000	107.898137	4.658118	-595.823653	-595.823653	23.654075	42.496000	0.000000		157.104397	NaN
22.220000	107.779989	4.653017	-595.823653	-595.823653	23.636172	42.496000	0.000000		157.104397	NaN
22.720000	107.622459	4.646217	-595.823653	-595.823653	23.667502	42.496000	0.000000		157.104397	NaN
23.220000	107.661841	4.647917	-595.823653	-595.823653	23.694356	42.496000	0.000000		157.095517	NaN
23.720000	107.504311	4.641116	-595.823653	-595.823653	23.640647	42.496000	0.000000		157.104397	NaN
24.220000	107.425546	4.637716	-595.823653	-595.823653	23.663026	42.496000	0.000000		157.104397	NaN
24.720000	107.425546	4.637716	-595.823653	-595.823653	23.707783	42.496000	0.000000		157.104397	NaN
25.220000	107.464928	4.639416	-595.823653	-595.823653	23.680929	42.496000	0.000000		157.104397	NaN
25.720000	107.346780	4.634315	-595.823653	-595.823653	23.689880	42.496000	0.000000		157.104397	NaN
26.220000	107.149867	4.625814	-595.823653	-595.823653	23.712259	42.496000	0.000000		157.122157	NaN
26.720000	107.149867	4.625814	-595.823653	-595.823653	23.698832	42.496000	0.000000		157.122157	NaN
27.220000	107.189250	4.627514	-595.823653	-595.823653	23.707783	42.496000	0.000000		157.104397	NaN
27.720000	107.071102	4.622414	-595.823653	-595.823653	23.716734	42.496000	0.000000		157.113277	NaN
28.220000	106.992336	4.619013	-595.823653	-595.823653	23.721210	42.496000	0.000000		157.131037	NaN
28.720000	106.992336	4.619013	-595.823653	-595.823653	23.725686	42.496000	0.000000		157.122157	NaN
29.220000	106.874188	4.613913	-595.823653	-595.823653	23.743589	42.496000	0.000000		157.122157	NaN
29.720000	106.716658	4.607112	-595.823653	-595.823653	23.739113	42.496000	0.000000		157.122157	NaN
30.220000	106.716658	4.607112	-595.823653	-595.823653	23.743589	42.496000	0.000000		157.122157	NaN
