Time,secs	AreaA,cm²	AreaA,A²	Unused    	Unused    	PiA,mN/m	Unused    	Unused    	Unused    	Unused    	Unused    
0.590000	19.312558	0.833751	1278.097802	1278.097802	-0.034733	-62.396877	0.000000		79.748755	Inf
1.090000	19.441355	0.839311	1277.945883	1277.945883	-0.034733	-62.430874	0.000000		79.766515	Inf
1.590000	19.613084	0.846725	1277.945883	1277.945883	-0.047758	-62.430874	0.000000		79.810916	Inf
2.090000	19.698949	0.850432	1278.173762	1278.173762	-0.026050	-62.375629	0.000000		79.855317	Inf
2.590000	19.784813	0.854139	1278.021843	1278.021843	-0.017367	-62.396877	0.000000		79.873078	Inf
3.090000	19.913610	0.859699	1278.021843	1278.021843	-0.013025	-62.375629	0.000000		79.908599	Inf
3.590000	20.128271	0.868966	1278.173762	1278.173762	-0.026050	-62.392627	0.000000		79.935239	Inf
4.090000	20.300000	0.876380	1278.173762	1278.173762	-0.026050	-62.375629	0.000000		79.961880	Inf
4.590000	20.342932	0.878234	1277.945883	1277.945883	-0.034733	-62.396877	0.000000		80.006281	Inf
5.090000	20.428797	0.881941	1278.173762	1278.173762	-0.039075	-62.396877	0.000000		80.032922	Inf
5.590000	20.600526	0.889354	1278.249721	1278.249721	-0.052100	-62.371379	0.000000		80.059562	Inf
6.090000	20.772255	0.896768	1278.097802	1278.097802	-0.056441	-62.379878	0.000000		80.086203	Inf
6.590000	20.858119	0.900475	1278.097802	1278.097802	-0.043416	-62.430874	0.000000		80.130604	Inf
7.090000	21.029848	0.907889	1278.021843	1278.021843	-0.047758	-62.375629	0.000000		80.166125	Inf
7.590000	21.115713	0.911596	1278.021843	1278.021843	-0.013025	-62.379878	0.000000		80.192766	Inf
8.090000	21.244509	0.917156	1278.097802	1278.097802	0.017367	-62.371379	0.000000		80.201646	Inf
8.590000	21.287442	0.919010	1278.249721	1278.249721	0.000000	-62.371379	0.000000		80.237167	Inf
9.090000	21.630900	0.933837	1278.097802	1278.097802	0.004342	-62.396877	0.000000		80.281568	Inf
9.590000	21.587967	0.931984	1278.173762	1278.173762	-0.030392	-62.430874	0.000000		80.299329	Inf
10.090000	21.802629	0.941251	1277.793964	1277.793964	-0.043416	-62.371379	0.000000		80.343730	Inf
10.590000	21.931425	0.946811	1278.173762	1278.173762	-0.039075	-62.375629	0.000000		80.361490	Inf
11.090000	21.931425	0.946811	1278.249721	1278.249721	-0.043416	-62.384128	0.000000		80.397011	Inf
11.590000	22.060222	0.952372	1278.173762	1278.173762	-0.034733	-62.379878	0.000000		80.414771	Inf
12.090000	22.189019	0.957932	1278.173762	1278.173762	-0.026050	-62.379878	0.000000		80.459173	Inf
12.590000	22.360748	0.965346	1278.173762	1278.173762	0.004342	-62.371379	0.000000		80.476933	Inf
13.090000	22.360748	0.965346	1278.249721	1278.249721	0.017367	-62.375629	0.000000		80.512454	Inf
13.590000	22.575409	0.974613	1278.325681	1278.325681	0.004342	-62.375629	0.000000		80.547975	Inf
14.090000	22.618341	0.976466	1278.097802	1278.097802	0.021708	-62.375629	0.000000		80.583496	Inf
14.590000	22.790070	0.983880	1278.021843	1278.021843	0.013025	-62.396877	0.000000		80.610136	Inf
15.090000	22.875935	0.987587	1277.945883	1277.945883	-0.013025	-62.396877	0.000000		80.645657	Inf
15.590000	22.961799	0.991294	1277.945883	1277.945883	-0.017367	-62.435123	0.000000		80.681178	Inf
16.090000	23.047664	0.995001	1277.945883	1277.945883	0.108541	-62.396877	0.000000		80.698939	Inf
16.590000	23.262325	1.004268	1277.869924	1277.869924	0.199716	-62.430874	0.000000		80.734460	Inf
17.090000	23.434054	1.011682	1278.097802	1278.097802	-0.091175	-62.396877	0.000000		80.743340	Inf
17.590000	23.519918	1.015389	1278.325681	1278.325681	-0.013025	-62.371379	0.000000		80.787741	Inf
18.090000	23.648715	1.020949	1278.021843	1278.021843	0.395090	-62.435123	0.000000		80.823262	Inf
18.590000	23.605783	1.019096	1277.945883	1277.945883	0.112883	-62.435123	0.000000		80.858783	Inf
19.090000	23.863376	1.030216	1277.869924	1277.869924	-0.013025	-62.388378	0.000000		80.876543	Inf
19.590000	23.992173	1.035777	1278.173762	1278.173762	0.078150	-62.430874	0.000000		80.920944	Inf
20.090000	24.249766	1.046897	1277.869924	1277.869924	0.034733	-62.388378	0.000000		80.956465	Inf
20.590000	24.206834	1.045044	1278.021843	1278.021843	0.030392	-62.392627	0.000000		80.983106	Inf
21.090000	24.335631	1.050604	1278.249721	1278.249721	-0.034733	-62.396877	0.000000		81.009747	Inf
21.590000	24.507360	1.058018	1277.793964	1277.793964	-0.056441	-62.430874	0.000000		81.045267	Inf
22.090000	24.636157	1.063578	1278.249721	1278.249721	-0.039075	-62.375629	0.000000		81.054148	Inf
22.590000	24.764953	1.069139	1278.173762	1278.173762	-0.026050	-62.375629	0.000000		81.089669	Inf
23.090000	24.893750	1.074699	1278.021843	1278.021843	-0.021708	-62.430874	0.000000		81.134070	Inf
23.590000	24.979614	1.078406	1278.173762	1278.173762	-0.004342	-62.388378	0.000000		81.169591	Inf
24.090000	25.108411	1.083966	1278.249721	1278.249721	-0.034733	-62.375629	0.000000		81.205112	Inf
24.590000	25.194276	1.087673	1277.869924	1277.869924	-0.039075	-62.430874	0.000000		81.222872	Inf
25.090000	25.323072	1.093234	1278.097802	1278.097802	-0.052100	-62.430874	0.000000		81.249513	Inf
25.590000	25.494801	1.100647	1277.945883	1277.945883	-0.043416	-62.430874	0.000000		81.276153	Inf
26.090000	25.451869	1.098794	1278.021843	1278.021843	-0.043416	-62.379878	0.000000		81.320554	Inf
26.590000	25.623598	1.106208	1278.173762	1278.173762	-0.065125	-62.379878	0.000000		81.338315	Inf
27.090000	25.752395	1.111768	1278.173762	1278.173762	-0.008683	-62.375629	0.000000		81.382716	Inf
27.590000	25.924124	1.119182	1278.097802	1278.097802	-0.047758	-62.384128	0.000000		81.400476	Inf
28.090000	25.924124	1.119182	1278.401640	1278.401640	-0.039075	-62.384128	0.000000		81.427117	Inf
28.590000	26.138785	1.128449	1278.325681	1278.325681	0.000000	-62.371379	0.000000		81.480399	Inf
29.090000	26.267582	1.134009	1278.097802	1278.097802	0.008683	-62.401126	0.000000		81.498159	Inf
29.590000	26.396379	1.139570	1277.869924	1277.869924	-0.026050	-62.430874	0.000000		81.542560	Inf
30.090000	26.525175	1.145130	1278.021843	1278.021843	-0.039075	-62.430874	0.000000		81.560321	Inf
30.590000	26.525175	1.145130	1277.945883	1277.945883	-0.043416	-62.384128	0.000000		81.604722	Inf
31.090000	26.739836	1.154397	1278.249721	1278.249721	-0.052100	-62.384128	0.000000		81.613602	Inf
31.590000	26.825701	1.158104	1278.097802	1278.097802	-0.065125	-62.388378	0.000000		81.658003	Inf
32.090000	26.997430	1.165518	1277.945883	1277.945883	-0.056441	-62.430874	0.000000		81.675763	Inf
32.590000	27.083294	1.169225	1278.249721	1278.249721	-0.065125	-62.371379	0.000000		81.711284	Inf
33.090000	27.255023	1.176639	1278.097802	1278.097802	-0.034733	-62.392627	0.000000		81.755686	Inf
33.590000	27.340888	1.180346	1278.173762	1278.173762	-0.056441	-62.396877	0.000000		81.773446	Inf
34.090000	27.469685	1.185906	1277.869924	1277.869924	-0.052100	-62.435123	0.000000		81.791206	Inf
34.590000	27.555549	1.189613	1278.021843	1278.021843	-0.047758	-62.430874	0.000000		81.835608	Inf
35.090000	27.727278	1.197027	1278.173762	1278.173762	-0.043416	-62.430874	0.000000		81.862248	Inf
35.590000	27.641414	1.193320	1278.021843	1278.021843	-0.060783	-62.430874	0.000000		81.897769	Inf
36.090000	28.027804	1.210001	1278.325681	1278.325681	-0.047758	-62.384128	0.000000		81.933290	Inf
36.590000	28.027804	1.210001	1278.325681	1278.325681	-0.034733	-62.384128	0.000000		81.951050	Inf
37.090000	28.113668	1.213708	1278.021843	1278.021843	-0.013025	-62.375629	0.000000		81.977691	Inf
37.590000	28.242465	1.219268	1278.173762	1278.173762	-0.013025	-62.384128	0.000000		82.013212	Inf
38.090000	28.371262	1.224828	1277.869924	1277.869924	-0.047758	-62.384128	0.000000		82.039853	Inf
38.590000	28.414194	1.226682	1278.249721	1278.249721	-0.026050	-62.371379	0.000000		82.066493	Inf
39.090000	28.671787	1.237802	1277.945883	1277.945883	-0.030392	-62.388378	0.000000		82.119775	Inf
39.590000	28.671787	1.237802	1278.021843	1278.021843	0.026050	-62.384128	0.000000		82.137535	Inf
40.090000	28.843516	1.245216	1278.097802	1278.097802	0.000000	-62.392627	0.000000		82.137535	Inf
