Time,secs	AreaA,cm	AreaA,A	Unused    	Unused    	PiA,mN/m	Unused    	Unused    	Unused    	Unused    	Unused    
0.520000	215.641706	9.309563	1279.313155	1279.313155	-0.004396	-62.520115	0.000000		158.622915	Inf
1.020000	215.727570	9.313270	1279.389114	1279.389114	0.008791	-62.532864	0.000000		158.622915	Inf
1.520000	215.727570	9.313270	1279.389114	1279.389114	-0.004396	-62.524365	0.000000		158.640676	Inf
2.020000	215.727570	9.313270	1279.768912	1279.768912	-0.017583	-62.460621	0.000000		158.658436	Inf
2.520000	215.770502	9.315123	1279.768912	1279.768912	0.004396	-62.520115	0.000000		158.658436	Inf
3.020000	215.770502	9.315123	1279.237195	1279.237195	0.008791	-62.537114	0.000000		158.676197	Inf
3.520000	215.856367	9.318830	1279.692952	1279.692952	0.008791	-62.520115	0.000000		158.685077	Inf
4.020000	215.856367	9.318830	1278.933357	1278.933357	0.004396	-62.520115	0.000000		158.702837	Inf
4.520000	215.899299	9.320684	1279.768912	1279.768912	0.008791	-62.520115	0.000000		158.702837	Inf
5.020000	215.942231	9.322537	1279.389114	1279.389114	-0.008791	-62.541363	0.000000		158.720598	Inf
5.520000	215.942231	9.322537	1279.692952	1279.692952	-0.013187	-62.537114	0.000000		158.729478	Inf
6.020000	216.028096	9.326244	1279.389114	1279.389114	-0.008791	-62.545613	0.000000		158.738358	Inf
6.520000	216.071028	9.328098	1279.844871	1279.844871	0.004396	-62.532864	0.000000		158.756119	Inf
7.020000	216.071028	9.328098	1278.933357	1278.933357	0.004396	-62.541363	0.000000		158.764999	Inf
7.520000	216.156893	9.331804	1279.920831	1279.920831	0.013187	-62.541363	0.000000		158.773879	Inf
8.020000	216.156893	9.331804	1279.692952	1279.692952	0.013187	-62.520115	0.000000		158.782759	Inf
8.520000	216.199825	9.333658	1279.768912	1279.768912	0.008791	-62.528614	0.000000		158.791640	Inf
9.020000	216.242757	9.335511	1279.844871	1279.844871	0.013187	-62.520115	0.000000		158.809400	Inf
9.520000	216.285689	9.337365	1279.009317	1279.009317	0.000000	-62.524365	0.000000		158.818280	Inf
10.020000	216.328621	9.339218	1279.465074	1279.465074	0.000000	-62.528614	0.000000		158.836041	Inf
10.520000	216.328621	9.339218	1279.844871	1279.844871	0.021979	-62.520115	0.000000		158.836041	Inf
11.020000	216.371554	9.341072	1278.933357	1278.933357	0.017583	-62.541363	0.000000		158.853801	Inf
