Time,secs	AreaA,cm²	AreaA,A²	Unused    	Unused    	PiA,mN/m	Unused    	Unused    	Unused    	Unused    	Unused    
0.540000	-59.296379	-2.559910	-595.823653	-595.823653	-0.030392	42.496000	0.000000		60.567468	NaN
1.040000	-59.167582	-2.554350	-595.823653	-595.823653	-0.052100	42.496000	0.000000		60.602989	NaN
1.540000	-58.909988	-2.543229	-595.823653	-595.823653	-0.021708	42.496000	0.000000		60.638510	NaN
2.040000	-58.909988	-2.543229	-595.823653	-595.823653	0.013025	42.496000	0.000000		60.665151	NaN
2.540000	-58.781192	-2.537669	-595.823653	-595.823653	0.052100	42.496000	0.000000		60.691791	NaN
3.040000	-58.609463	-2.530255	-595.823653	-595.823653	0.017367	42.496000	0.000000		60.727312	NaN
3.540000	-58.437734	-2.522841	-595.823653	-595.823653	-0.026050	42.496000	0.000000		60.745073	NaN
4.040000	-58.308937	-2.517281	-595.823653	-595.823653	-0.030392	42.496000	0.000000		60.798354	NaN
4.540000	-58.008411	-2.504307	-595.823653	-595.823653	-0.021708	42.496000	0.000000		60.842755	NaN
5.040000	-58.008411	-2.504307	-595.823653	-595.823653	-0.008683	42.496000	0.000000		60.860515	NaN
5.540000	-57.879614	-2.498746	-595.823653	-595.823653	0.008683	42.496000	0.000000		60.878276	NaN
6.040000	-57.750818	-2.493186	-595.823653	-595.823653	0.013025	42.496000	0.000000		60.922677	NaN
6.540000	-57.579089	-2.485772	-595.823653	-595.823653	0.004342	42.496000	0.000000		60.940438	NaN
7.040000	-57.579089	-2.485772	-595.823653	-595.823653	0.013025	42.496000	0.000000		60.984839	NaN
7.540000	-57.235631	-2.470945	-595.823653	-595.823653	0.026050	42.496000	0.000000		61.029240	NaN
8.040000	-57.149766	-2.467238	-595.823653	-595.823653	0.013025	42.496000	0.000000		61.047000	NaN
8.540000	-56.978037	-2.459824	-595.823653	-595.823653	0.026050	42.496000	0.000000		61.073641	NaN
9.040000	-56.849241	-2.454264	-595.823653	-595.823653	0.021708	42.496000	0.000000		61.109162	NaN
9.540000	-56.677512	-2.446850	-595.823653	-595.823653	0.017367	42.496000	0.000000		61.126922	NaN
10.040000	-56.677512	-2.446850	-595.823653	-595.823653	0.021708	42.496000	0.000000		61.171323	NaN
10.540000	-56.419918	-2.435729	-595.823653	-595.823653	0.017367	42.496000	0.000000		61.206844	NaN
11.040000	-56.334054	-2.432022	-595.823653	-595.823653	0.008683	42.496000	0.000000		61.224605	NaN
11.540000	-56.162325	-2.424608	-595.823653	-595.823653	0.004342	42.496000	0.000000		61.251245	NaN
12.040000	-55.990596	-2.417195	-595.823653	-595.823653	-0.004342	42.496000	0.000000		61.295647	NaN
12.540000	-55.733002	-2.406074	-595.823653	-595.823653	-0.004342	42.496000	0.000000		61.340048	NaN
13.040000	-55.818867	-2.409781	-595.823653	-595.823653	-0.026050	42.496000	0.000000		61.357808	NaN
13.540000	-55.604206	-2.400514	-595.823653	-595.823653	-0.017367	42.496000	0.000000		61.402209	NaN
14.040000	-55.432477	-2.393100	-595.823653	-595.823653	-0.008683	42.496000	0.000000		61.419970	NaN
14.540000	-55.303680	-2.387540	-595.823653	-595.823653	0.000000	42.496000	0.000000		61.437730	NaN
15.040000	-55.131951	-2.380126	-595.823653	-595.823653	-0.004342	42.496000	0.000000		61.482131	NaN
15.540000	-55.089019	-2.378272	-595.823653	-595.823653	0.000000	42.496000	0.000000		61.526532	NaN
16.040000	-54.917290	-2.370859	-595.823653	-595.823653	0.000000	42.496000	0.000000		61.544293	NaN
16.540000	-54.745561	-2.363445	-595.823653	-595.823653	-0.008683	42.496000	0.000000		61.588694	NaN
17.040000	-54.573832	-2.356031	-595.823653	-595.823653	-0.008683	42.496000	0.000000		61.606454	NaN
17.540000	-54.402103	-2.348617	-595.823653	-595.823653	-0.004342	42.496000	0.000000		61.659736	NaN
18.040000	-54.144509	-2.337496	-595.823653	-595.823653	0.008683	42.496000	0.000000		61.695257	NaN
18.540000	-54.230374	-2.341203	-595.823653	-595.823653	0.008683	42.496000	0.000000		61.713017	NaN
19.040000	-54.015713	-2.331936	-595.823653	-595.823653	0.021708	42.496000	0.000000		61.730778	NaN
19.540000	-53.843984	-2.324522	-595.823653	-595.823653	0.000000	42.496000	0.000000		61.775179	NaN
20.040000	-53.672255	-2.317109	-595.823653	-595.823653	-0.004342	42.496000	0.000000		61.792939	NaN
20.540000	-53.543458	-2.311548	-595.823653	-595.823653	0.008683	42.496000	0.000000		61.846220	NaN
21.040000	-53.371729	-2.304134	-595.823653	-595.823653	-0.004342	42.496000	0.000000		61.881741	NaN
21.540000	-53.285864	-2.300428	-595.823653	-595.823653	-0.008683	42.496000	0.000000		61.899502	NaN
22.040000	-53.114136	-2.293014	-595.823653	-595.823653	0.000000	42.496000	0.000000		61.926143	NaN
22.540000	-52.985339	-2.287453	-595.823653	-595.823653	-0.004342	42.496000	0.000000		61.961663	NaN
23.040000	-52.727745	-2.276333	-595.823653	-595.823653	0.013025	42.496000	0.000000		62.006065	NaN
23.540000	-52.641881	-2.272626	-595.823653	-595.823653	0.021708	42.496000	0.000000		62.023825	NaN
24.040000	-52.513084	-2.267065	-595.823653	-595.823653	0.017367	42.496000	0.000000		62.059346	NaN
24.540000	-52.298423	-2.257798	-595.823653	-595.823653	0.004342	42.496000	0.000000		62.094867	NaN
25.040000	-52.169626	-2.252238	-595.823653	-595.823653	0.004342	42.496000	0.000000		62.130388	NaN
25.540000	-51.997897	-2.244824	-595.823653	-595.823653	-0.017367	42.496000	0.000000		62.148148	NaN
26.040000	-51.912033	-2.241117	-595.823653	-595.823653	-0.004342	42.496000	0.000000		62.192549	NaN
26.540000	-51.783236	-2.235557	-595.823653	-595.823653	-0.008683	42.496000	0.000000		62.210310	NaN
27.040000	-51.611507	-2.228143	-595.823653	-595.823653	-0.004342	42.496000	0.000000		62.254711	NaN
27.540000	-51.396846	-2.218876	-595.823653	-595.823653	-0.008683	42.496000	0.000000		62.281352	NaN
28.040000	-51.396846	-2.218876	-595.823653	-595.823653	-0.004342	42.496000	0.000000		62.316872	NaN
28.540000	-51.182185	-2.209609	-595.823653	-595.823653	-0.004342	42.496000	0.000000		62.361274	NaN
29.040000	-51.053388	-2.204048	-595.823653	-595.823653	-0.008683	42.496000	0.000000		62.379034	NaN
29.540000	-50.881659	-2.196635	-595.823653	-595.823653	-0.004342	42.496000	0.000000		62.423435	NaN
30.040000	-50.709930	-2.189221	-595.823653	-595.823653	-0.017367	42.496000	0.000000		62.441196	NaN
30.540000	-50.709930	-2.189221	-595.823653	-595.823653	-0.004342	42.496000	0.000000		62.494477	NaN
31.040000	-50.538201	-2.181807	-595.823653	-595.823653	-0.004342	42.496000	0.000000		62.503357	NaN
31.540000	-50.323540	-2.172540	-595.823653	-595.823653	0.004342	42.496000	0.000000		62.547758	NaN
32.040000	-50.108879	-2.163272	-595.823653	-595.823653	0.004342	42.496000	0.000000		62.574399	NaN
32.540000	-50.108879	-2.163272	-595.823653	-595.823653	-0.004342	42.496000	0.000000		62.609920	NaN
33.040000	-49.894217	-2.154005	-595.823653	-595.823653	-0.017367	42.496000	0.000000		62.654321	NaN
33.540000	-49.722488	-2.146591	-595.823653	-595.823653	0.004342	42.496000	0.000000		62.672081	NaN
34.040000	-49.593692	-2.141031	-595.823653	-595.823653	-0.030392	42.496000	0.000000		62.698722	NaN
34.540000	-49.464895	-2.135471	-595.823653	-595.823653	-0.004342	42.496000	0.000000		62.743123	NaN
35.040000	-49.379030	-2.131764	-595.823653	-595.823653	-0.004342	42.496000	0.000000		62.778644	NaN
35.540000	-49.250234	-2.126204	-595.823653	-595.823653	0.017367	42.496000	0.000000		62.805285	NaN
36.040000	-49.035572	-2.116936	-595.823653	-595.823653	0.017367	42.496000	0.000000		62.840806	NaN
36.540000	-48.906776	-2.111376	-595.823653	-595.823653	0.013025	42.496000	0.000000		62.885207	NaN
37.040000	-48.863843	-2.109523	-595.823653	-595.823653	-0.004342	42.496000	0.000000		62.902967	NaN
37.540000	-48.735047	-2.103962	-595.823653	-595.823653	-0.008683	42.496000	0.000000		62.947368	NaN
38.040000	-48.477453	-2.092841	-595.823653	-595.823653	0.004342	42.496000	0.000000		62.974009	NaN
38.540000	-48.262792	-2.083574	-595.823653	-595.823653	-0.008683	42.496000	0.000000		63.000650	NaN
39.040000	-48.133995	-2.078014	-595.823653	-595.823653	0.021708	42.496000	0.000000		63.062811	NaN
39.540000	-48.048131	-2.074307	-595.823653	-595.823653	-0.013025	42.496000	0.000000		63.071692	NaN
40.040000	-47.876402	-2.066893	-595.823653	-595.823653	-0.021708	42.496000	0.000000		63.089452	NaN
40.540000	-47.747605	-2.061333	-595.823653	-595.823653	-0.039075	42.496000	0.000000		63.124973	NaN
41.040000	-47.490012	-2.050212	-595.823653	-595.823653	-0.004342	42.496000	0.000000		63.169374	NaN
41.540000	-47.490012	-2.050212	-595.823653	-595.823653	0.013025	42.496000	0.000000		63.196015	NaN
42.040000	-47.404147	-2.046505	-595.823653	-595.823653	0.000000	42.496000	0.000000		63.231536	NaN
42.540000	-47.189486	-2.037238	-595.823653	-595.823653	0.008683	42.496000	0.000000		63.249296	NaN
43.040000	-47.060689	-2.031678	-595.823653	-595.823653	0.008683	42.496000	0.000000		63.293697	NaN
43.540000	-46.846028	-2.022411	-595.823653	-595.823653	0.021708	42.496000	0.000000		63.320338	NaN
44.040000	-46.803096	-2.020557	-595.823653	-595.823653	0.043416	42.496000	0.000000		63.364739	NaN
44.540000	-46.631367	-2.013143	-595.823653	-595.823653	0.026050	42.496000	0.000000		63.373619	NaN
45.040000	-46.416706	-2.003876	-595.823653	-595.823653	0.013025	42.496000	0.000000		63.426901	NaN
45.540000	-46.287909	-1.998316	-595.823653	-595.823653	0.000000	42.496000	0.000000		63.471302	NaN
46.040000	-46.202044	-1.994609	-595.823653	-595.823653	0.004342	42.496000	0.000000		63.480182	NaN
46.540000	-46.030315	-1.987195	-595.823653	-595.823653	0.017367	42.496000	0.000000		63.533463	NaN
47.040000	-45.858586	-1.979781	-595.823653	-595.823653	0.000000	42.496000	0.000000		63.551224	NaN
47.540000	-45.729790	-1.974221	-595.823653	-595.823653	-0.004342	42.496000	0.000000		63.586745	NaN
48.040000	-45.472196	-1.963100	-595.823653	-595.823653	0.000000	42.496000	0.000000		63.622266	NaN
48.540000	-45.472196	-1.963100	-595.823653	-595.823653	0.078150	42.496000	0.000000		63.657786	NaN
49.040000	-45.257535	-1.953833	-595.823653	-595.823653	0.034733	42.496000	0.000000		63.675547	NaN
49.540000	-45.128738	-1.948273	-595.823653	-595.823653	-0.017367	42.496000	0.000000		63.711068	NaN
50.040000	-45.085806	-1.946419	-595.823653	-595.823653	0.043416	42.496000	0.000000		63.746589	NaN
50.540000	-44.828213	-1.935299	-595.823653	-595.823653	0.047758	42.496000	0.000000		63.773229	NaN
51.040000	-44.613551	-1.926031	-595.823653	-595.823653	0.004342	42.496000	0.000000		63.826511	NaN
51.540000	-44.484755	-1.920471	-595.823653	-595.823653	-0.008683	42.496000	0.000000		63.862032	NaN
52.040000	-44.398890	-1.916764	-595.823653	-595.823653	-0.004342	42.496000	0.000000		63.879792	NaN
52.540000	-44.184229	-1.907497	-595.823653	-595.823653	0.017367	42.496000	0.000000		63.915313	NaN
53.040000	-43.969568	-1.898230	-595.823653	-595.823653	0.004342	42.496000	0.000000		63.941954	NaN
53.540000	-43.969568	-1.898230	-595.823653	-595.823653	-0.013025	42.496000	0.000000		63.986355	NaN
54.040000	-43.711974	-1.887109	-595.823653	-595.823653	-0.017367	42.496000	0.000000		64.021876	NaN
54.540000	-43.626110	-1.883402	-595.823653	-595.823653	-0.034733	42.496000	0.000000		64.039636	NaN
55.040000	-43.325584	-1.870428	-595.823653	-595.823653	-0.026050	42.496000	0.000000		64.084037	NaN
55.540000	-43.196787	-1.864868	-595.823653	-595.823653	-0.013025	42.496000	0.000000		64.128438	NaN
56.040000	-43.110923	-1.861161	-595.823653	-595.823653	-0.013025	42.496000	0.000000		64.146199	NaN
56.540000	-42.982126	-1.855600	-595.823653	-595.823653	-0.008683	42.496000	0.000000		64.163959	NaN
57.040000	-42.896262	-1.851893	-595.823653	-595.823653	-0.008683	42.496000	0.000000		64.217241	NaN
57.540000	-42.638668	-1.840773	-595.823653	-595.823653	0.000000	42.496000	0.000000		64.252762	NaN
58.040000	-42.681600	-1.842626	-595.823653	-595.823653	-0.004342	42.496000	0.000000		64.279402	NaN
58.540000	-42.466939	-1.833359	-595.823653	-595.823653	0.000000	42.496000	0.000000		64.314923	NaN
59.040000	-42.295210	-1.825945	-595.823653	-595.823653	0.008683	42.496000	0.000000		64.359324	NaN
59.540000	-42.166414	-1.820385	-595.823653	-595.823653	0.004342	42.496000	0.000000		64.377085	NaN
60.040000	-41.994685	-1.812971	-595.823653	-595.823653	0.021708	42.496000	0.000000		64.421486	NaN
60.540000	-41.822956	-1.805557	-595.823653	-595.823653	0.021708	42.496000	0.000000		64.439246	NaN
61.040000	-41.737091	-1.801850	-595.823653	-595.823653	0.013025	42.496000	0.000000		64.483647	NaN
61.540000	-41.522430	-1.792583	-595.823653	-595.823653	0.043416	42.496000	0.000000		64.528049	NaN
62.040000	-41.436565	-1.788876	-595.823653	-595.823653	0.008683	42.496000	0.000000		64.554689	NaN
62.540000	-41.350701	-1.785169	-595.823653	-595.823653	0.008683	42.496000	0.000000		64.590210	NaN
63.040000	-41.136040	-1.775902	-595.823653	-595.823653	0.021708	42.496000	0.000000		64.607971	NaN
63.540000	-41.050175	-1.772195	-595.823653	-595.823653	0.026050	42.496000	0.000000		64.652372	NaN
64.040000	-40.878446	-1.764781	-595.823653	-595.823653	0.026050	42.496000	0.000000		64.679012	NaN
64.540000	-40.706717	-1.757368	-595.823653	-595.823653	0.021708	42.496000	0.000000		64.714533	NaN
65.040000	-40.577921	-1.751807	-595.823653	-595.823653	0.026050	42.496000	0.000000		64.767815	NaN
65.540000	-40.449124	-1.746247	-595.823653	-595.823653	-0.008683	42.496000	0.000000		64.785575	NaN
66.040000	-40.234463	-1.736980	-595.823653	-595.823653	-0.008683	42.496000	0.000000		64.821096	NaN
66.540000	-40.062734	-1.729566	-595.823653	-595.823653	0.000000	42.496000	0.000000		64.847737	NaN
67.040000	-40.019801	-1.727712	-595.823653	-595.823653	-0.013025	42.496000	0.000000		64.883258	NaN
67.540000	-39.848072	-1.720299	-595.823653	-595.823653	-0.017367	42.496000	0.000000		64.927659	NaN
68.040000	-39.676343	-1.712885	-595.823653	-595.823653	-0.008683	42.496000	0.000000		64.954299	NaN
68.540000	-39.547547	-1.707325	-595.823653	-595.823653	-0.013025	42.496000	0.000000		64.998700	NaN
69.040000	-39.375818	-1.699911	-595.823653	-595.823653	-0.021708	42.496000	0.000000		65.034221	NaN
69.540000	-39.247021	-1.694350	-595.823653	-595.823653	-0.034733	42.496000	0.000000		65.051982	NaN
70.040000	-39.118224	-1.688790	-595.823653	-595.823653	-0.008683	42.496000	0.000000		65.069742	NaN
70.540000	-39.032360	-1.685083	-595.823653	-595.823653	-0.021708	42.496000	0.000000		65.114143	NaN
71.040000	-38.860631	-1.677669	-595.823653	-595.823653	-0.034733	42.496000	0.000000		65.158545	NaN
71.540000	-38.731834	-1.672109	-595.823653	-595.823653	-0.017367	42.496000	0.000000		65.176305	NaN
72.040000	-38.645970	-1.668402	-595.823653	-595.823653	-0.021708	42.496000	0.000000		65.220706	NaN
72.540000	-38.388376	-1.657281	-595.823653	-595.823653	-0.013025	42.496000	0.000000		65.265107	NaN
73.040000	-38.388376	-1.657281	-595.823653	-595.823653	-0.013025	42.496000	0.000000		65.282868	NaN
73.540000	-38.259579	-1.651721	-595.823653	-595.823653	-0.030392	42.496000	0.000000		65.327269	NaN
74.040000	-38.087850	-1.644307	-595.823653	-595.823653	-0.039075	42.496000	0.000000		65.345029	NaN
74.540000	-37.959054	-1.638747	-595.823653	-595.823653	-0.056441	42.496000	0.000000		65.389430	NaN
75.040000	-37.744393	-1.629480	-595.823653	-595.823653	-0.047758	42.496000	0.000000		65.433831	NaN
75.540000	-37.615596	-1.623919	-595.823653	-595.823653	-0.039075	42.496000	0.000000		65.433831	NaN
76.040000	-37.486799	-1.618359	-595.823653	-595.823653	-0.047758	42.496000	0.000000		65.460472	NaN
76.540000	-37.315070	-1.610945	-595.823653	-595.823653	-0.043416	42.496000	0.000000		65.504873	NaN
77.040000	-37.229206	-1.607238	-595.823653	-595.823653	-0.034733	42.496000	0.000000		65.522634	NaN
77.540000	-37.186273	-1.605385	-595.823653	-595.823653	-0.026050	42.496000	0.000000		65.567035	NaN
78.040000	-36.885748	-1.592411	-595.823653	-595.823653	-0.021708	42.496000	0.000000		65.611436	NaN
78.540000	-36.885748	-1.592411	-595.823653	-595.823653	-0.030392	42.496000	0.000000		65.629196	NaN
79.040000	-36.714019	-1.584997	-595.823653	-595.823653	-0.026050	42.496000	0.000000		65.655837	NaN
79.540000	-36.542290	-1.577583	-595.823653	-595.823653	-0.026050	42.496000	0.000000		65.691358	NaN
80.040000	-36.413493	-1.572023	-595.823653	-595.823653	-0.021708	42.496000	0.000000		65.735759	NaN
80.540000	-36.284696	-1.566463	-595.823653	-595.823653	-0.021708	42.496000	0.000000		65.744639	NaN
81.040000	-36.027103	-1.555342	-595.823653	-595.823653	-0.034733	42.496000	0.000000		65.789041	NaN
81.540000	-35.898306	-1.549782	-595.823653	-595.823653	-0.030392	42.496000	0.000000		65.833442	NaN
82.040000	-35.812442	-1.546075	-595.823653	-595.823653	-0.004342	42.496000	0.000000		65.851202	NaN
82.540000	-35.683645	-1.540514	-595.823653	-595.823653	-0.021708	42.496000	0.000000		65.895603	NaN
83.040000	-35.554848	-1.534954	-595.823653	-595.823653	-0.026050	42.496000	0.000000		65.904483	NaN
83.540000	-35.254322	-1.521980	-595.823653	-595.823653	-0.026050	42.496000	0.000000		65.948885	NaN
84.040000	-35.168458	-1.518273	-595.823653	-595.823653	-0.021708	42.496000	0.000000		65.975525	NaN
84.540000	-35.168458	-1.518273	-595.823653	-595.823653	-0.021708	42.496000	0.000000		66.011046	NaN
85.040000	-34.996729	-1.510859	-595.823653	-595.823653	-0.021708	42.496000	0.000000		66.028807	NaN
85.540000	-34.825000	-1.503445	-595.823653	-595.823653	-0.013025	42.496000	0.000000		66.064327	NaN
86.040000	-34.696203	-1.497885	-595.823653	-595.823653	-0.013025	42.496000	0.000000		66.090968	NaN
86.540000	-34.567407	-1.492325	-595.823653	-595.823653	-0.004342	42.496000	0.000000		66.108729	NaN
87.040000	-34.395678	-1.484911	-595.823653	-595.823653	-0.021708	42.496000	0.000000		66.162010	NaN
87.540000	-34.352745	-1.483057	-595.823653	-595.823653	-0.026050	42.496000	0.000000		66.197531	NaN
88.040000	-34.181016	-1.475644	-595.823653	-595.823653	-0.034733	42.496000	0.000000		66.224172	NaN
88.540000	-34.095152	-1.471937	-595.823653	-595.823653	-0.039075	42.496000	0.000000		66.259692	NaN
89.040000	-34.009287	-1.468230	-595.823653	-595.823653	-0.034733	42.496000	0.000000		66.277453	NaN
89.540000	-33.665829	-1.453402	-595.823653	-595.823653	-0.043416	42.496000	0.000000		66.312974	NaN
90.040000	-33.622897	-1.451549	-595.823653	-595.823653	-0.039075	42.496000	0.000000		66.348495	NaN
90.540000	-33.622897	-1.451549	-595.823653	-595.823653	-0.034733	42.496000	0.000000		66.384016	NaN
91.040000	-33.408236	-1.442282	-595.823653	-595.823653	-0.030392	42.496000	0.000000		66.410656	NaN
91.540000	-33.279439	-1.436721	-595.823653	-595.823653	-0.030392	42.496000	0.000000		66.446177	NaN
92.040000	-33.107710	-1.429308	-595.823653	-595.823653	-0.017367	42.496000	0.000000		66.463938	NaN
92.540000	-33.021846	-1.425601	-595.823653	-595.823653	-0.017367	42.496000	0.000000		66.508339	NaN
93.040000	-32.807185	-1.416333	-595.823653	-595.823653	-0.030392	42.496000	0.000000		66.526099	NaN
93.540000	-32.807185	-1.416333	-595.823653	-595.823653	-0.026050	42.496000	0.000000		66.561620	NaN
94.040000	-32.635456	-1.408920	-595.823653	-595.823653	-0.021708	42.496000	0.000000		66.588261	NaN
94.540000	-32.506659	-1.403359	-595.823653	-595.823653	-0.017367	42.496000	0.000000		66.632662	NaN
95.040000	-32.291998	-1.394092	-595.823653	-595.823653	-0.013025	42.496000	0.000000		66.659303	NaN
95.540000	-32.291998	-1.394092	-595.823653	-595.823653	-0.008683	42.496000	0.000000		66.694823	NaN
96.040000	-32.034404	-1.382971	-595.823653	-595.823653	0.026050	42.496000	0.000000		66.712584	NaN
96.540000	-31.991472	-1.381118	-595.823653	-595.823653	-0.004342	42.496000	0.000000		66.765865	NaN
97.040000	-31.776811	-1.371851	-595.823653	-595.823653	-0.026050	42.496000	0.000000		66.774746	NaN
97.540000	-31.648014	-1.366290	-595.823653	-595.823653	0.034733	42.496000	0.000000		66.828027	NaN
98.040000	-31.390421	-1.355170	-595.823653	-595.823653	0.052100	42.496000	0.000000		66.872428	NaN
98.540000	-31.390421	-1.355170	-595.823653	-595.823653	-0.004342	42.496000	0.000000		66.890188	NaN
99.040000	-31.132827	-1.344049	-595.823653	-595.823653	-0.013025	42.496000	0.000000		66.916829	NaN
99.540000	-31.132827	-1.344049	-595.823653	-595.823653	0.000000	42.496000	0.000000		66.952350	NaN
100.040000	-30.961098	-1.336635	-595.823653	-595.823653	-0.021708	42.496000	0.000000		66.970110	NaN
100.540000	-30.832301	-1.331075	-595.823653	-595.823653	-0.017367	42.496000	0.000000		67.005631	NaN
101.040000	-30.660572	-1.323661	-595.823653	-595.823653	-0.026050	42.496000	0.000000		67.050032	NaN
101.540000	-30.617640	-1.321808	-595.823653	-595.823653	-0.026050	42.496000	0.000000		67.076673	NaN
102.040000	-30.574708	-1.319954	-595.823653	-595.823653	-0.021708	42.496000	0.000000		67.121074	NaN
102.540000	-30.402979	-1.312540	-595.823653	-595.823653	-0.008683	42.496000	0.000000		67.138835	NaN
103.040000	-30.274182	-1.306980	-595.823653	-595.823653	-0.004342	42.496000	0.000000		67.156595	NaN
103.540000	-30.102453	-1.299566	-595.823653	-595.823653	0.108541	42.496000	0.000000		67.200996	NaN
104.040000	-30.102453	-1.299566	-595.823653	-595.823653	0.026050	42.496000	0.000000		67.227637	NaN
104.540000	-29.930724	-1.292152	-595.823653	-595.823653	0.004342	42.496000	0.000000		67.263158	NaN
105.040000	-29.844860	-1.288446	-595.823653	-595.823653	0.017367	42.496000	0.000000		67.307559	NaN
105.540000	-29.758995	-1.284739	-595.823653	-595.823653	0.008683	42.496000	0.000000		67.325319	NaN
106.040000	-29.501402	-1.273618	-595.823653	-595.823653	-0.004342	42.496000	0.000000		67.360840	NaN
106.540000	-29.372605	-1.268058	-595.823653	-595.823653	-0.013025	42.496000	0.000000		67.405241	NaN
107.040000	-29.329673	-1.266204	-595.823653	-595.823653	-0.013025	42.496000	0.000000		67.423002	NaN
107.540000	-29.157944	-1.258790	-595.823653	-595.823653	-0.008683	42.496000	0.000000		67.440762	NaN
108.040000	-29.029147	-1.253230	-595.823653	-595.823653	-0.021708	42.496000	0.000000		67.494044	NaN
108.540000	-28.900350	-1.247670	-595.823653	-595.823653	-0.008683	42.496000	0.000000		67.511804	NaN
109.040000	-28.814486	-1.243963	-595.823653	-595.823653	0.000000	42.496000	0.000000		67.565086	NaN
109.540000	-28.556893	-1.232842	-595.823653	-595.823653	0.008683	42.496000	0.000000		67.591726	NaN
110.040000	-28.599825	-1.234696	-595.823653	-595.823653	0.004342	42.496000	0.000000		67.609487	NaN
110.540000	-28.385164	-1.225428	-595.823653	-595.823653	0.004342	42.496000	0.000000		67.636127	NaN
111.040000	-28.256367	-1.219868	-595.823653	-595.823653	0.013025	42.496000	0.000000		67.680528	NaN
111.540000	-28.041706	-1.210601	-595.823653	-595.823653	0.039075	42.496000	0.000000		67.716049	NaN
112.040000	-28.041706	-1.210601	-595.823653	-595.823653	0.030392	42.496000	0.000000		67.733810	NaN
112.540000	-27.998773	-1.208747	-595.823653	-595.823653	0.026050	42.496000	0.000000		67.778211	NaN
113.040000	-27.741180	-1.197627	-595.823653	-595.823653	0.030392	42.496000	0.000000		67.804852	NaN
113.540000	-27.655315	-1.193920	-595.823653	-595.823653	0.021708	42.496000	0.000000		67.840373	NaN
114.040000	-27.440654	-1.184653	-595.823653	-595.823653	0.017367	42.496000	0.000000		67.858133	NaN
114.540000	-27.354790	-1.180946	-595.823653	-595.823653	0.008683	42.496000	0.000000		67.911414	NaN
115.040000	-27.225993	-1.175385	-595.823653	-595.823653	0.021708	42.496000	0.000000		67.920295	NaN
115.540000	-27.097196	-1.169825	-595.823653	-595.823653	0.000000	42.496000	0.000000		67.955815	NaN
116.040000	-26.882535	-1.160558	-595.823653	-595.823653	0.004342	42.496000	0.000000		67.982456	NaN
116.540000	-26.925467	-1.162411	-595.823653	-595.823653	-0.008683	42.496000	0.000000		68.017977	NaN
117.040000	-26.667874	-1.151291	-595.823653	-595.823653	0.017367	42.496000	0.000000		68.062378	NaN
117.540000	-26.582009	-1.147584	-595.823653	-595.823653	0.004342	42.496000	0.000000		68.089019	NaN
118.040000	-26.367348	-1.138316	-595.823653	-595.823653	-0.008683	42.496000	0.000000		68.106779	NaN
118.540000	-26.281484	-1.134610	-595.823653	-595.823653	-0.013025	42.496000	0.000000		68.142300	NaN
119.040000	-26.066822	-1.125342	-595.823653	-595.823653	-0.026050	42.496000	0.000000		68.186701	NaN
119.540000	-26.066822	-1.125342	-595.823653	-595.823653	-0.030392	42.496000	0.000000		68.213342	NaN
120.040000	-25.980958	-1.121635	-595.823653	-595.823653	-0.017367	42.496000	0.000000		68.257743	NaN
120.540000	-25.766297	-1.112368	-595.823653	-595.823653	-0.008683	42.496000	0.000000		68.266623	NaN
121.040000	-25.594568	-1.104954	-595.823653	-595.823653	-0.004342	42.496000	0.000000		68.293264	NaN
121.540000	-25.422839	-1.097541	-595.823653	-595.823653	-0.021708	42.496000	0.000000		68.328785	NaN
122.040000	-25.336974	-1.093834	-595.823653	-595.823653	-0.017367	42.496000	0.000000		68.373186	NaN
122.540000	-25.251110	-1.090127	-595.823653	-595.823653	-0.034733	42.496000	0.000000		68.399827	NaN
123.040000	-25.079381	-1.082713	-595.823653	-595.823653	-0.026050	42.496000	0.000000		68.435348	NaN
123.540000	-24.907652	-1.075299	-595.823653	-595.823653	-0.017367	42.496000	0.000000		68.453108	NaN
124.040000	-24.864720	-1.073446	-595.823653	-595.823653	-0.017367	42.496000	0.000000		68.497509	NaN
124.540000	-24.564194	-1.060472	-595.823653	-595.823653	-0.004342	42.496000	0.000000		68.541910	NaN
125.040000	-24.564194	-1.060472	-595.823653	-595.823653	-0.004342	42.496000	0.000000		68.550791	NaN
125.540000	-24.349533	-1.051204	-595.823653	-595.823653	-0.004342	42.496000	0.000000		68.577431	NaN
126.040000	-24.306600	-1.049351	-595.823653	-595.823653	-0.039075	42.496000	0.000000		68.612952	NaN
126.540000	-24.049007	-1.038230	-595.823653	-595.823653	-0.030392	42.496000	0.000000		68.666233	NaN
127.040000	-24.049007	-1.038230	-595.823653	-595.823653	-0.039075	42.496000	0.000000		68.683994	NaN
127.540000	-23.877278	-1.030816	-595.823653	-595.823653	-0.017367	42.496000	0.000000		68.719515	NaN
128.040000	-23.705549	-1.023403	-595.823653	-595.823653	-0.030392	42.496000	0.000000		68.755036	NaN
128.540000	-23.576752	-1.017842	-595.823653	-595.823653	0.065125	42.496000	0.000000		68.790557	NaN
129.040000	-23.405023	-1.010429	-595.823653	-595.823653	-0.030392	42.496000	0.000000		68.808317	NaN
129.540000	-23.319159	-1.006722	-595.823653	-595.823653	-0.017367	42.496000	0.000000		68.852718	NaN
