Time (min)	Gamma-L	Gamma-P
2.5	1.597008723	0.37775796
3.5	1.475715785	1.328628436
4.5	1.419890285	1.507633931
5.5	1.471069089	1.381486667
6.5	1.464089329	1.412261553
7.5	1.463072961	1.282287329
8.5	1.456328371	1.352538773
9.5	1.518153667	1.365551884
10.5	1.477459628	1.356531154
11.5	1.479152008	1.387224382
12.5	1.404605867	1.482008637
13.5	1.481430017	1.381407815
14.5	1.395610893	1.483870676
15.5	1.491983405	1.343654942
16.5	1.461786096	1.370297084
17.5	1.469195126	1.382480254
18.5	1.428305751	1.45249229
19.5	1.43696119	1.513612882
20.5	1.429786963	1.439482137
21.5	1.456547964	1.414537494
22.5	1.458185109	1.499439622
23.5	1.474959036	1.472995138
24.5	1.466478241	1.47405192
25.5	1.49338709	1.458005358
26.5	1.393835133	1.46301782
27.5	1.431294967	1.490376046
28.5	1.447999143	1.470279212
29.5	1.488578289	1.403886916
30.5	1.402183648	1.492674509
31.5	1.458329438	1.412810951
32.5	1.460859236	1.401345085
33.5	1.430962907	1.547569071
34.5	1.46411528	1.517876521
35.5	1.470756577	1.458325061
36.5	1.483361129	1.551947089
37.5	1.471252016	1.418323748
38.5	1.488312291	1.450842944
39.5	1.391601934	1.590721291
40.5	1.468993727	1.535000324
41.5	1.445513148	1.553538154
42.5	1.482951001	1.536969568
43.5	1.441671713	1.413491369
44.5	1.430626887	1.548413831
45.5	1.477282901	1.493542986
46.5	1.445606999	1.520756016
47.5	1.427757988	1.551054896
48.5	1.444826054	1.66219365
49.5	1.427371177	1.562339211
50.5	1.470303701	1.556862716
51.5	1.405844381	1.667663882
52.5	1.441999087	1.644781722
53.5	1.409208957	1.662190291
54.5	1.43319996	1.601608774
55.5	1.466522709	1.625232874
56.5	1.383050619	1.64491838
57.5	1.417062012	1.5056421
58.5	1.461234992	1.602667846
59.5	1.426927117	1.488954746
60.5	1.391244024	1.645488588
61.5	1.478856574	1.42571628
