Time (min)	Gamma-L	Gamma-P
7.5	1.432142662	0.960097447
8.5	1.448521285	1.0709209
9.5	1.367873622	1.164063056
10.5	1.359207675	1.064985615
11.5	1.420628464	1.132553757
12.5	1.380531961	1.417566508
13.5	1.398928166	1.291558199
14.5	1.370165441	1.228923611
15.5	1.392469635	1.205046395
16.5	1.345944897	1.326568844
17.5	1.42096311	1.148875079
18.5	1.367761372	1.285322478
19.5	1.408005934	1.21146864
20.5	1.371534783	1.284502088
21.5	1.373559282	1.421770691
22.5	1.384264824	1.358483691
23.5	1.368366885	1.36685951
24.5	1.364826995	1.343658253
25.5	1.373274251	1.305891019
26.5	1.361320011	1.366322126
27.5	1.375794022	1.416955638
28.5	1.299253971	1.559378481
29.5	1.372136743	1.386303018
30.5	1.272864363	1.555140966
31.5	1.351946577	1.431049327
32.5	1.331645939	1.457617194
33.5	1.26544454	1.556511853
34.5	1.324684294	1.491380018
35.5	1.349938162	1.528582984
36.5	1.33267694	1.488377071
37.5	1.29466408	1.586640074
38.5	1.288113841	1.595457754
39.5	1.298782791	1.506113641
40.5	1.27035228	1.683986211
41.5	1.258722731	1.551000538
42.5	1.308155078	1.512163297
43.5	1.317908213	1.621261772
44.5	1.304051862	1.514688192
45.5	1.284114856	1.594828463
46.5	1.307382592	1.54985672
47.5	1.278159603	1.6281899
48.5	1.285383817	1.487371117
49.5	1.256614009	1.517050037
50.5	1.272237546	1.506933765
51.5	1.291289252	1.515459291
52.5	1.299640791	1.526863225
53.5	1.329961105	1.526177991
54.5	1.333332669	1.478903712
55.5	1.257622602	1.53928795
56.5	1.32169428	1.510021835
57.5	1.274650537	1.483825141
58.5	1.2799046	1.452781941
59.5	1.341556437	1.351077342
60.5	1.350533701	1.386327204
61.5	1.338255904	1.337644581
