Time,secs	AreaA,cm	AreaA,A	Unused    	Unused    	PiA,mN/m	Unused    	Unused    	Unused    	Unused    	Unused    
0.420000	120.889929	5.218992	-595.823653	-595.823653	0.456190	42.496000	0.000000	-20.804476	151.527615	NaN
0.920000	120.889929	5.218992	-595.823653	-595.823653	0.500480	42.496000	0.000000	-20.804476	151.527615	NaN
1.420000	120.889929	5.218992	-595.823653	-595.823653	0.460619	42.496000	0.000000	-20.804476	151.527615	NaN
1.920000	120.889929	5.218992	-595.823653	-595.823653	0.496051	42.496000	0.000000	-20.804476	151.527615	NaN
2.420000	120.932655	5.220837	-595.823653	-595.823653	0.478335	42.496000	0.000000		151.527615	NaN
2.920000	120.932655	5.220837	-595.823653	-595.823653	0.518196	42.496000	0.000000		151.536496	NaN
3.420000	120.932655	5.220837	-595.823653	-595.823653	0.549199	42.496000	0.000000		151.527615	NaN
3.920000	120.847202	5.217148	-595.823653	-595.823653	0.518196	42.496000	0.000000		151.527615	NaN
4.420000	120.847202	5.217148	-595.823653	-595.823653	0.513767	42.496000	0.000000		151.527615	NaN
4.920000	120.932655	5.220837	-595.823653	-595.823653	0.482764	42.496000	0.000000		151.527615	NaN
5.420000	120.847202	5.217148	-595.823653	-595.823653	0.518196	42.496000	0.000000		151.527615	NaN
5.920000	120.889929	5.218992	-595.823653	-595.823653	0.527054	42.496000	0.000000		151.527615	NaN
6.420000	120.889929	5.218992	-595.823653	-595.823653	0.575774	42.496000	0.000000		151.527615	NaN
6.920000	120.889929	5.218992	-595.823653	-595.823653	0.380896	42.496000	0.000000		151.536496	NaN
7.420000	120.889929	5.218992	-595.823653	-595.823653	0.496051	42.496000	0.000000		151.527615	NaN
7.920000	120.932655	5.220837	-595.823653	-595.823653	0.434045	42.496000	0.000000		151.527615	NaN
8.420000	120.889929	5.218992	-595.823653	-595.823653	0.562486	42.496000	0.000000		151.527615	NaN
8.920000	120.719023	5.211614	-595.823653	-595.823653	0.571344	42.496000	0.000000		151.527615	NaN
9.420000	120.676297	5.209770	-595.823653	-595.823653	0.509338	42.496000	0.000000		151.527615	NaN
9.920000	120.633571	5.207925	-595.823653	-595.823653	0.509338	42.496000	0.000000		151.527615	NaN
10.420000	120.719023	5.211614	-595.823653	-595.823653	0.465048	42.496000	0.000000		151.527615	NaN
10.920000	120.719023	5.211614	-595.823653	-595.823653	0.504909	42.496000	0.000000		151.527615	NaN
11.420000	120.676297	5.209770	-595.823653	-595.823653	0.456190	42.496000	0.000000		151.527615	NaN
11.920000	120.676297	5.209770	-595.823653	-595.823653	0.456190	42.496000	0.000000		151.527615	NaN
12.420000	120.548118	5.204236	-595.823653	-595.823653	0.562486	42.496000	0.000000		151.527615	NaN
