Time (min)  Gamma-L	Gamma-P
2.5	1.488915188	0.695821597
3.5	1.457385442	0.843939312
4.5	1.447533453	0.832997393
5.5	1.339286511	0.877598172
6.5	1.398465911	0.927910626
7.5	1.357857361	1.041121344
8.5	1.44634307	0.854373378
9.5	1.442683419	0.667019369
10.5	1.416206258	0.893782103
11.5	1.361146331	0.840265694
12.5	1.35075328	0.967642795
13.5	1.386844217	1.03282711
14.5	1.42626394	0.710094941
15.5	1.473946069	0.701325599
16.5	1.410896738	0.989675757
17.5	1.427692221	0.926434745
18.5	1.437127541	0.981291907
19.5	1.427446229	0.992660005
20.5	1.434299073	1.066524943
21.5	1.421591474	0.879720094
22.5	1.384763622	1.095889397
23.5	1.400474216	1.037752984
24.5	1.38803615	1.151627058
25.5	1.398392328	0.994813883
26.5	1.408260796	0.97751936
27.5	1.408708569	1.05872496
28.5	1.403310816	0.993902104
29.5	1.396514629	1.10397612
30.5	1.354219116	1.163818808
31.5	1.391551144	1.101648591
32.5	1.343877732	1.123430483
33.5	1.335322348	1.144237849
34.5	1.351361886	1.159070898
35.5	1.368430893	1.23580259
36.5	1.370424596	0.984483762
37.5	1.370327239	1.147593271
38.5	1.373880199	1.131603705
39.5	1.33811612	1.200882221
40.5	1.379513394	0.948574719
41.5	1.413691708	1.091739062
42.5	1.39653899	1.018679113
43.5	1.340017376	1.170717759
44.5	1.394849296	1.037404288
45.5	1.464958512	0.899383664
46.5	1.357112717	1.087645668
47.5	1.38909971	1.018221274
48.5	1.381148292	1.172233532
49.5	1.373798064	1.024794409
50.5	1.348450336	1.108474178
51.5	1.359186247	1.0895397
52.5	1.407679115	1.095272829
53.5	1.38462043	1.08859378
54.5	1.421552911	0.843985595
55.5	1.371854787	1.153214829
56.5	1.391749218	1.036183412
57.5	1.428952351	0.997561834
58.5	1.424400914	0.983525058
59.5	1.423199232	1.106944427
60.5	1.432147919	0.932703933
61.5	1.367181391	1.055665132
