Time,secs	AreaA,cm	AreaA,A	Unused    	Unused    	PiA,mN/m	Unused    	Unused    	Unused    	Unused    	Unused    
0.520000	256.904580	11.090941	-595.823653	-595.823653	1.675365	45.475000	0.000000	-156.003267	168.462205	NaN
1.020000	256.904580	11.090941	-595.823653	-595.823653	1.665927	45.475000	0.000000	-156.003267	168.462205	NaN
1.520000	256.904580	11.090941	-595.823653	-595.823653	1.680085	45.475000	0.000000	-156.003267	168.462205	NaN
2.020000	256.904580	11.090941	-595.823653	-595.823653	1.632891	45.475000	0.000000	-156.003267	168.462205	NaN
2.520000	256.904580	11.090941	-595.823653	-595.823653	1.632891	45.475000	0.000000		168.462205	NaN
3.020000	256.904580	11.090941	-595.823653	-595.823653	1.661207	45.475000	0.000000		168.471085	NaN
3.520000	256.904580	11.090941	-595.823653	-595.823653	1.675365	45.475000	0.000000		168.462205	NaN
4.020000	256.904580	11.090941	-595.823653	-595.823653	1.6281720000000002	45.475000	0.000000		168.462205	NaN
4.520000	256.844492	11.088347	-595.823653	-595.823653	1.632891	45.475000	0.000000		168.462205	NaN
5.020000	256.904580	11.090941	-595.823653	-595.823653	1.665927	45.475000	0.000000		168.471085	NaN
5.520000	256.904580	11.090941	-595.823653	-595.823653	1.632891	45.475000	0.000000		168.453325	NaN
6.020000	256.904580	11.090941	-595.823653	-595.823653	1.647049	45.475000	0.000000		168.462205	NaN
6.520000	256.964667	11.093535	-595.823653	-595.823653	1.6376110000000001	45.475000	0.000000		168.453325	NaN
7.020000	256.904580	11.090941	-595.823653	-595.823653	1.632891	45.475000	0.000000		168.471085	NaN
7.520000	256.844492	11.088347	-595.823653	-595.823653	1.675365	45.475000	0.000000		168.471085	NaN
8.020000	256.844492	11.088347	-595.823653	-595.823653	1.647049	45.475000	0.000000		168.471085	NaN
8.520000	256.844492	11.088347	-595.823653	-595.823653	1.64233	45.475000	0.000000		168.471085	NaN
9.020000	256.784405	11.085753	-595.823653	-595.823653	1.647049	45.475000	0.000000		168.471085	NaN
9.520000	256.664230	11.080565	-595.823653	-595.823653	1.64233	45.475000	0.000000		168.471085	NaN
10.020000	256.604142	11.077970	-595.823653	-595.823653	1.680085	45.475000	0.000000		168.471085	NaN
10.520000	256.604142	11.077970	-595.823653	-595.823653	1.656488	45.475000	0.000000		168.471085	NaN
11.020000	256.664230	11.080565	-595.823653	-595.823653	1.708401	45.475000	0.000000		168.471085	NaN
11.520000	256.664230	11.080565	-595.823653	-595.823653	1.708401	45.475000	0.000000		168.479965	NaN
12.020000	256.604142	11.077970	-595.823653	-595.823653	1.708401	45.475000	0.000000		168.471085	NaN
12.520000	256.423880	11.070188	-595.823653	-595.823653	1.722559	45.475000	0.000000		168.462205	NaN
13.020000	256.243617	11.062406	-595.823653	-595.823653	1.7178390000000001	45.475000	0.000000		168.471085	NaN
13.520000	256.303705	11.065000	-595.823653	-595.823653	1.703681	45.475000	0.000000		168.479965	NaN
14.020000	256.303705	11.065000	-595.823653	-595.823653	1.71312	45.475000	0.000000		168.471085	NaN
14.520000	256.243617	11.062406	-595.823653	-595.823653	1.42524	45.475000	0.000000		168.471085	NaN
15.020000	256.303705	11.065000	-595.823653	-595.823653	1.64233	45.475000	0.000000		168.479965	NaN
15.520000	256.303705	11.065000	-595.823653	-595.823653	1.7178390000000001	45.475000	0.000000		168.471085	NaN
16.020000	256.183530	11.059812	-595.823653	-595.823653	1.6942430000000002	45.475000	0.000000		168.479965	NaN
16.520000	255.943180	11.049436	-595.823653	-595.823653	1.665927	45.475000	0.000000		168.471085	NaN
17.020000	255.943180	11.049436	-595.823653	-595.823653	1.9538060000000002	45.475000	0.000000		168.471085	NaN
17.520000	256.003267	11.052030	-595.823653	-595.823653	1.647049	45.475000	0.000000		168.471085	NaN
18.020000	255.943180	11.049436	-595.823653	-595.823653	1.727278	45.475000	0.000000		168.471085	NaN
18.520000	255.943180	11.049436	-595.823653	-595.823653	1.755594	45.475000	0.000000		168.479965	NaN
19.020000	255.823005	11.044248	-595.823653	-595.823653	1.7744710000000001	45.475000	0.000000		168.471085	NaN
19.520000	255.762917	11.041654	-595.823653	-595.823653	1.698962	45.475000	0.000000		168.471085	NaN
20.020000	255.642742	11.036465	-595.823653	-595.823653	1.755594	45.475000	0.000000		168.471085	NaN
20.520000	255.642742	11.036465	-595.823653	-595.823653	1.755594	45.475000	0.000000		168.479965	NaN
21.020000	255.642742	11.036465	-595.823653	-595.823653	1.779191	45.475000	0.000000		168.479965	NaN
21.520000	255.702830	11.039059	-595.823653	-595.823653	1.779191	45.475000	0.000000		168.471085	NaN
22.020000	255.642742	11.036465	-595.823653	-595.823653	1.7744710000000001	45.475000	0.000000		168.488846	NaN
22.520000	255.522567	11.031277	-595.823653	-595.823653	1.788629	45.475000	0.000000		168.479965	NaN
23.020000	255.342305	11.023495	-595.823653	-595.823653	1.7508750000000002	45.475000	0.000000		168.479965	NaN
23.520000	255.342305	11.023495	-595.823653	-595.823653	1.7508750000000002	45.475000	0.000000		168.471085	NaN
24.020000	255.342305	11.023495	-595.823653	-595.823653	1.769752	45.475000	0.000000		168.479965	NaN
24.520000	255.342305	11.023495	-595.823653	-595.823653	1.760313	45.475000	0.000000		168.479965	NaN
25.020000	255.222130	11.018307	-595.823653	-595.823653	1.755594	45.475000	0.000000		168.471085	NaN
25.520000	255.101955	11.013119	-595.823653	-595.823653	1.798068	45.475000	0.000000		168.479965	NaN
26.020000	255.041867	11.010525	-595.823653	-595.823653	1.8122260000000001	45.475000	0.000000		168.471085	NaN
26.520000	254.981780	11.007931	-595.823653	-595.823653	1.8122260000000001	45.475000	0.000000		168.479965	NaN
27.020000	254.981780	11.007931	-595.823653	-595.823653	1.769752	45.475000	0.000000		168.479965	NaN
27.520000	254.921692	11.005337	-595.823653	-595.823653	1.788629	45.475000	0.000000		168.479965	NaN
28.020000	254.981780	11.007931	-595.823653	-595.823653	1.802787	45.475000	0.000000		168.479965	NaN
28.520000	254.981780	11.007931	-595.823653	-595.823653	1.769752	45.475000	0.000000		168.479965	NaN
29.020000	254.861605	11.002743	-595.823653	-595.823653	1.798068	45.475000	0.000000		168.471085	NaN
29.520000	254.741430	10.997554	-595.823653	-595.823653	1.788629	45.475000	0.000000		168.479965	NaN
30.020000	254.681342	10.994960	-595.823653	-595.823653	1.807507	45.475000	0.000000		168.479965	NaN
30.520000	254.681342	10.994960	-595.823653	-595.823653	1.793349	45.475000	0.000000		168.479965	NaN
31.020000	254.741430	10.997554	-595.823653	-595.823653	1.8311030000000001	45.475000	0.000000		168.479965	NaN
31.520000	254.681342	10.994960	-595.823653	-595.823653	1.835823	45.475000	0.000000		168.479965	NaN
32.020000	254.681342	10.994960	-595.823653	-595.823653	1.835823	45.475000	0.000000		168.488846	NaN
32.520000	254.681342	10.994960	-595.823653	-595.823653	1.8122260000000001	45.475000	0.000000		168.479965	NaN
33.020000	254.501080	10.987178	-595.823653	-595.823653	1.835823	45.475000	0.000000		168.488846	NaN
33.520000	254.380905	10.981990	-595.823653	-595.823653	1.8547	45.475000	0.000000		168.488846	NaN
34.020000	254.380905	10.981990	-595.823653	-595.823653	1.826384	45.475000	0.000000		168.479965	NaN
34.520000	254.380905	10.981990	-595.823653	-595.823653	1.816945	45.475000	0.000000		168.479965	NaN
35.020000	254.320817	10.979396	-595.823653	-595.823653	1.8311030000000001	45.475000	0.000000		168.479965	NaN
35.520000	254.260730	10.976802	-595.823653	-595.823653	1.826384	45.475000	0.000000		168.479965	NaN
36.020000	254.200642	10.974208	-595.823653	-595.823653	1.8311030000000001	45.475000	0.000000		168.488846	NaN
36.520000	254.020380	10.966426	-595.823653	-595.823653	1.859419	45.475000	0.000000		168.488846	NaN
37.020000	254.020380	10.966426	-595.823653	-595.823653	1.8688580000000001	45.475000	0.000000		168.479965	NaN
37.520000	254.020380	10.966426	-595.823653	-595.823653	1.859419	45.475000	0.000000		168.497726	NaN
38.020000	254.080467	10.969020	-595.823653	-595.823653	1.859419	45.475000	0.000000		168.488846	NaN
38.520000	254.020380	10.966426	-595.823653	-595.823653	1.8405420000000001	45.475000	0.000000		168.497726	NaN
39.020000	253.960292	10.963832	-595.823653	-595.823653	1.883016	45.475000	0.000000		168.488846	NaN
39.520000	253.719942	10.953455	-595.823653	-595.823653	1.8971740000000001	45.475000	0.000000		168.488846	NaN
40.020000	253.719942	10.953455	-595.823653	-595.823653	1.859419	45.475000	0.000000		168.479965	NaN
40.520000	253.719942	10.953455	-595.823653	-595.823653	1.859419	45.475000	0.000000		168.479965	NaN
41.020000	253.719942	10.953455	-595.823653	-595.823653	1.864139	45.475000	0.000000		168.488846	NaN
41.520000	253.659855	10.950861	-595.823653	-595.823653	1.873577	45.475000	0.000000		168.488846	NaN
42.020000	253.539680	10.945673	-595.823653	-595.823653	1.901894	45.475000	0.000000		168.479965	NaN
42.520000	253.359417	10.937891	-595.823653	-595.823653	1.916052	45.475000	0.000000		168.488846	NaN
43.020000	253.359417	10.937891	-595.823653	-595.823653	1.892455	45.475000	0.000000		168.488846	NaN
43.520000	253.419505	10.940485	-595.823653	-595.823653	1.8971740000000001	45.475000	0.000000		168.497726	NaN
