Time,secs	AreaA,cm	AreaA,A	Unused    	Unused    	PiA,mN/m	Unused    	Unused    	Unused    	Unused    	Unused    
0.720000	256.243617	11.062406	-482.568002	-482.568002	0.286822	36.002558	0.000000	-156.003267	168.861815	Inf
1.220000	256.183530	11.059812	-482.643962	-482.643962	0.263312	36.002558	0.000000	-156.003267	168.870695	Inf
1.720000	256.243617	11.062406	-482.568002	-482.568002	0.305630	36.002558	0.000000		168.879575	Inf
2.220000	256.243617	11.062406	-482.568002	-482.568002	0.263312	36.002558	0.000000		168.870695	Inf
2.720000	256.243617	11.062406	-482.643962	-482.643962	0.338544	36.002558	0.000000		168.870695	Inf
3.220000	256.243617	11.062406	-482.568002	-482.568002	0.371458	36.002558	0.000000		168.870695	Inf
3.720000	256.243617	11.062406	-482.643962	-482.643962	0.112848	36.002558	0.000000		168.870695	Inf
4.220000	256.243617	11.062406	-482.643962	-482.643962	0.282120	36.002558	0.000000		168.870695	Inf
4.720000	256.183530	11.059812	-482.568002	-482.568002	0.145762	36.007105	0.000000		168.870695	Inf
5.220000	256.183530	11.059812	-482.568002	-482.568002	0.319736	36.007105	0.000000		168.870695	Inf
5.720000	256.183530	11.059812	-482.568002	-482.568002	-0.018808	36.007105	0.000000		168.870695	Inf
6.220000	256.243617	11.062406	-482.643962	-482.643962	0.197484	36.002558	0.000000		168.870695	Inf
6.720000	256.243617	11.062406	-482.568002	-482.568002	0.427882	36.007105	0.000000		168.870695	Inf
7.220000	256.303705	11.065000	-482.643962	-482.643962	0.225696	36.002558	0.000000		168.870695	Inf
7.720000	256.243617	11.062406	-482.643962	-482.643962	0.155166	36.002558	0.000000		168.870695	Inf
8.220000	256.303705	11.065000	-482.643962	-482.643962	0.277418	36.002558	0.000000		168.861815	Inf
8.720000	256.303705	11.065000	-482.643962	-482.643962	0.399670	36.002558	0.000000		168.861815	Inf
9.220000	256.243617	11.062406	-482.719922	-482.719922	0.141060	36.002558	0.000000		168.870695	Inf
9.720000	256.183530	11.059812	-482.643962	-482.643962	0.211590	36.007105	0.000000		168.861815	Inf
10.220000	256.063355	11.054624	-482.643962	-482.643962	0.112848	36.002558	0.000000		168.870695	Inf
10.720000	256.003267	11.052030	-482.568002	-482.568002	0.230398	36.007105	0.000000		168.870695	Inf
11.220000	256.003267	11.052030	-482.643962	-482.643962	0.075232	36.002558	0.000000		168.870695	Inf
11.720000	255.943180	11.049436	-482.643962	-482.643962	0.145762	36.002558	0.000000		168.870695	Inf
12.220000	256.003267	11.052030	-482.643962	-482.643962	0.239802	36.002558	0.000000		168.870695	Inf
12.720000	255.883092	11.046842	-482.643962	-482.643962	0.277418	36.007105	0.000000		168.870695	Inf
13.220000	255.823005	11.044248	-482.643962	-482.643962	0.089338	36.007105	0.000000		168.870695	Inf
13.720000	255.642742	11.036465	-482.643962	-482.643962	0.432584	36.002558	0.000000		168.870695	Inf
14.220000	255.702830	11.039059	-482.643962	-482.643962	0.484305	36.002558	0.000000		168.870695	Inf
14.720000	255.642742	11.036465	-482.643962	-482.643962	0.216292	36.007105	0.000000		168.870695	Inf
15.220000	255.642742	11.036465	-482.643962	-482.643962	0.159868	36.007105	0.000000		168.861815	Inf
15.720000	255.642742	11.036465	-482.643962	-482.643962	0.484305	36.002558	0.000000		168.870695	Inf
16.220000	255.642742	11.036465	-482.643962	-482.643962	0.169272	36.007105	0.000000		168.870695	Inf
16.720000	255.462480	11.028683	-482.643962	-482.643962	0.225696	36.002558	0.000000		168.870695	Inf
17.220000	255.342305	11.023495	-482.643962	-482.643962	0.319736	36.007105	0.000000		168.870695	Inf
17.720000	255.342305	11.023495	-482.643962	-482.643962	0.357352	36.007105	0.000000		168.861815	Inf
18.220000	255.342305	11.023495	-482.568002	-482.568002	0.409074	36.007105	0.000000		168.879575	Inf
18.720000	255.342305	11.023495	-482.643962	-482.643962	0.568941	36.007105	0.000000		168.861815	Inf
19.220000	255.222130	11.018307	-482.643962	-482.643962	0.550133	36.007105	0.000000		168.870695	Inf
19.720000	255.101955	11.013119	-482.643962	-482.643962	0.089338	36.007105	0.000000		168.870695	Inf
20.220000	254.981780	11.007931	-482.643962	-482.643962	0.211590	36.007105	0.000000		168.879575	Inf
20.720000	255.041867	11.010525	-482.643962	-482.643962	0.173974	36.007105	0.000000		168.870695	Inf
21.220000	254.981780	11.007931	-482.643962	-482.643962	0.164570	36.011653	0.000000		168.870695	Inf
21.720000	255.041867	11.010525	-482.643962	-482.643962	0.155166	36.007105	0.000000		168.870695	Inf
22.220000	254.981780	11.007931	-482.568002	-482.568002	0.183378	36.011653	0.000000		168.870695	Inf
22.720000	254.981780	11.007931	-482.643962	-482.643962	0.178676	36.007105	0.000000		168.870695	Inf
23.220000	254.861605	11.002743	-482.643962	-482.643962	0.300928	36.007105	0.000000		168.870695	Inf
23.720000	254.861605	11.002743	-482.643962	-482.643962	0.484305	36.007105	0.000000		168.879575	Inf
24.220000	254.681342	10.994960	-482.643962	-482.643962	0.159868	36.011653	0.000000		168.870695	Inf
24.720000	254.621255	10.992366	-482.643962	-482.643962	0.183378	36.007105	0.000000		168.870695	Inf
25.220000	254.681342	10.994960	-482.719922	-482.719922	0.380862	36.011653	0.000000		168.870695	Inf
25.720000	254.681342	10.994960	-482.719922	-482.719922	0.347948	36.007105	0.000000		168.870695	Inf
26.220000	254.681342	10.994960	-482.643962	-482.643962	0.126954	36.007105	0.000000		168.879575	Inf
26.720000	254.681342	10.994960	-482.643962	-482.643962	0.427882	36.007105	0.000000		168.870695	Inf
27.220000	254.561167	10.989772	-482.643962	-482.643962	0.131656	36.007105	0.000000		168.870695	Inf
27.720000	254.380905	10.981990	-482.719922	-482.719922	0.366756	36.011653	0.000000		168.879575	Inf
28.220000	254.380905	10.981990	-482.643962	-482.643962	0.479603	36.011653	0.000000		168.861815	Inf
28.720000	254.380905	10.981990	-482.643962	-482.643962	0.249206	36.011653	0.000000		168.870695	Inf
29.220000	254.380905	10.981990	-482.568002	-482.568002	0.376160	36.016200	0.000000		168.861815	Inf
29.720000	254.260730	10.976802	-482.643962	-482.643962	0.385564	36.011653	0.000000		168.870695	Inf
30.220000	254.260730	10.976802	-482.643962	-482.643962	0.211590	36.011653	0.000000		168.870695	Inf
30.720000	254.020380	10.966426	-482.643962	-482.643962	0.155166	36.011653	0.000000		168.861815	Inf
31.220000	254.020380	10.966426	-482.719922	-482.719922	0.112848	36.011653	0.000000		168.870695	Inf
31.720000	254.080467	10.969020	-482.643962	-482.643962	0.206888	36.011653	0.000000		168.870695	Inf
32.220000	254.080467	10.969020	-482.719922	-482.719922	0.423180	36.011653	0.000000		168.861815	Inf
32.720000	254.020380	10.966426	-482.719922	-482.719922	0.451392	36.011653	0.000000		168.861815	Inf
33.220000	253.960292	10.963832	-482.719922	-482.719922	0.427882	36.011653	0.000000		168.861815	Inf
33.720000	253.840117	10.958644	-482.719922	-482.719922	0.394968	36.011653	0.000000		168.870695	Inf
34.220000	253.780030	10.956049	-482.719922	-482.719922	0.394968	36.011653	0.000000		168.861815	Inf
34.720000	253.719942	10.953455	-482.719922	-482.719922	0.484305	36.011653	0.000000		168.870695	Inf
35.220000	253.719942	10.953455	-482.719922	-482.719922	0.268014	36.011653	0.000000		168.870695	Inf
35.720000	253.719942	10.953455	-482.719922	-482.719922	0.357352	36.007105	0.000000		168.870695	Inf
36.220000	253.659855	10.950861	-482.719922	-482.719922	0.554835	36.011653	0.000000		168.861815	Inf
36.720000	253.419505	10.940485	-482.643962	-482.643962	0.249206	36.011653	0.000000		168.870695	Inf
37.220000	253.419505	10.940485	-482.795881	-482.795881	0.352650	36.011653	0.000000		168.870695	Inf
37.720000	253.419505	10.940485	-482.643962	-482.643962	0.366756	36.011653	0.000000		168.870695	Inf
38.220000	253.359417	10.937891	-482.719922	-482.719922	0.300928	36.011653	0.000000		168.870695	Inf
38.720000	253.479592	10.943079	-482.643962	-482.643962	0.564239	36.016200	0.000000		168.870695	Inf
39.220000	253.299330	10.935297	-482.719922	-482.719922	0.206888	36.016200	0.000000		168.861815	Inf
39.720000	253.359417	10.937891	-482.643962	-482.643962	0.474901	36.011653	0.000000		168.861815	Inf
40.220000	253.239242	10.932703	-482.719922	-482.719922	0.150464	36.016200	0.000000		168.870695	Inf
40.720000	252.998892	10.922327	-482.795881	-482.795881	0.352650	36.011653	0.000000		168.870695	Inf
41.220000	253.058980	10.924921	-482.719922	-482.719922	0.305630	36.016200	0.000000		168.852935	Inf
41.720000	253.058980	10.924921	-482.719922	-482.719922	0.559537	36.016200	0.000000		168.870695	Inf
42.220000	253.058980	10.924921	-482.719922	-482.719922	0.376160	36.011653	0.000000		168.870695	Inf
42.720000	252.938805	10.919733	-482.643962	-482.643962	0.244504	36.016200	0.000000		168.861815	Inf
43.220000	253.058980	10.924921	-482.719922	-482.719922	0.296226	36.011653	0.000000		168.861815	Inf
43.720000	252.818630	10.914544	-482.719922	-482.719922	0.432584	36.016200	0.000000		168.861815	Inf
44.220000	252.818630	10.914544	-482.643962	-482.643962	0.333842	36.016200	0.000000		168.870695	Inf
44.720000	252.698455	10.909356	-482.719922	-482.719922	0.648875	36.016200	0.000000		168.870695	Inf
