Time,secs	AreaA,cm	AreaA,A	Unused    	Unused    	PiA,mN/m	Unused    	Unused    	Unused    	Unused    	Unused    
0.520000	256.964667	11.093535	-530.270584	-530.270584	0.794637	38.835650	0.000000	-156.904580	168.027074	Inf
1.020000	256.904580	11.090941	-530.270584	-530.270584	0.869869	38.835650	0.000000	-156.003267	168.027074	Inf
1.520000	256.964667	11.093535	-530.346543	-530.346543	0.705299	38.831103	0.000000	-156.003267	168.035954	Inf
2.020000	256.964667	11.093535	-530.346543	-530.346543	1.001525	38.835650	0.000000		168.027074	Inf
2.520000	256.904580	11.090941	-530.270584	-530.270584	0.771127	38.840198	0.000000		168.027074	Inf
3.020000	256.964667	11.093535	-530.346543	-530.346543	0.691193	38.840198	0.000000		168.035954	Inf
3.520000	256.904580	11.090941	-530.346543	-530.346543	0.615961	38.840198	0.000000		168.027074	Inf
4.020000	256.964667	11.093535	-530.346543	-530.346543	0.573643	38.835650	0.000000		168.035954	Inf
4.520000	256.964667	11.093535	-530.346543	-530.346543	0.681789	38.835650	0.000000		168.035954	Inf
5.020000	256.904580	11.090941	-530.270584	-530.270584	0.757021	38.840198	0.000000		168.035954	Inf
5.520000	256.964667	11.093535	-530.346543	-530.346543	0.441988	38.840198	0.000000		168.035954	Inf
6.020000	256.964667	11.093535	-530.346543	-530.346543	0.780531	38.835650	0.000000		168.035954	Inf
6.520000	256.904580	11.090941	-530.346543	-530.346543	0.794637	38.835650	0.000000		168.035954	Inf
7.020000	256.904580	11.090941	-530.346543	-530.346543	0.634769	38.835650	0.000000		168.035954	Inf
7.520000	256.904580	11.090941	-530.346543	-530.346543	0.804041	38.835650	0.000000		168.035954	Inf
8.020000	256.964667	11.093535	-530.346543	-530.346543	0.724107	38.840198	0.000000		168.035954	Inf
8.520000	256.904580	11.090941	-530.422503	-530.422503	0.630067	38.840198	0.000000		168.035954	Inf
9.020000	256.904580	11.090941	-530.346543	-530.346543	0.851061	38.835650	0.000000		168.035954	Inf
9.520000	256.904580	11.090941	-530.346543	-530.346543	0.686491	38.835650	0.000000		168.035954	Inf
10.020000	256.784405	11.085753	-530.346543	-530.346543	0.573643	38.835650	0.000000		168.044834	Inf
10.520000	256.604142	11.077970	-530.346543	-530.346543	0.738213	38.835650	0.000000		168.027074	Inf
11.020000	256.544055	11.075376	-530.422503	-530.422503	0.404372	38.840198	0.000000		168.044834	Inf
11.520000	256.664230	11.080565	-530.422503	-530.422503	0.554835	38.840198	0.000000		168.044834	Inf
12.020000	256.604142	11.077970	-530.422503	-530.422503	0.653577	38.840198	0.000000		168.044834	Inf
12.520000	256.604142	11.077970	-530.346543	-530.346543	0.540729	38.835650	0.000000		168.044834	Inf
13.020000	256.544055	11.075376	-530.346543	-530.346543	0.714703	38.835650	0.000000		168.044834	Inf
13.520000	256.423880	11.070188	-530.346543	-530.346543	0.954505	38.835650	0.000000		168.044834	Inf
14.020000	256.303705	11.065000	-530.346543	-530.346543	1.015631	38.840198	0.000000		168.044834	Inf
14.520000	256.243617	11.062406	-530.422503	-530.422503	0.648875	38.840198	0.000000		168.044834	Inf
15.020000	256.303705	11.065000	-530.422503	-530.422503	0.978015	38.840198	0.000000		168.044834	Inf
15.520000	256.303705	11.065000	-530.422503	-530.422503	0.686491	38.835650	0.000000		168.044834	Inf
16.020000	256.303705	11.065000	-530.422503	-530.422503	0.362054	38.840198	0.000000		168.053715	Inf
16.520000	256.243617	11.062406	-530.422503	-530.422503	0.550133	38.840198	0.000000		168.053715	Inf
17.020000	256.183530	11.059812	-530.422503	-530.422503	0.775829	38.840198	0.000000		168.053715	Inf
17.520000	255.943180	11.049436	-530.422503	-530.422503	0.841657	38.840198	0.000000		168.053715	Inf
18.020000	255.943180	11.049436	-530.498462	-530.498462	0.545431	38.840198	0.000000		168.035954	Inf
18.520000	255.943180	11.049436	-530.422503	-530.422503	0.827551	38.840198	0.000000		168.053715	Inf
19.020000	255.943180	11.049436	-530.422503	-530.422503	0.869869	38.840198	0.000000		168.053715	Inf
19.520000	255.943180	11.049436	-530.422503	-530.422503	0.766425	38.840198	0.000000		168.044834	Inf
20.020000	255.883092	11.046842	-530.346543	-530.346543	0.691193	38.840198	0.000000		168.053715	Inf
20.520000	255.823005	11.044248	-530.422503	-530.422503	0.705299	38.840198	0.000000		168.053715	Inf
21.020000	255.702830	11.039059	-530.422503	-530.422503	0.930995	38.840198	0.000000		168.053715	Inf
21.520000	255.642742	11.036465	-530.422503	-530.422503	0.653577	38.840198	0.000000		168.053715	Inf
22.020000	255.642742	11.036465	-530.422503	-530.422503	0.945101	38.844745	0.000000		168.053715	Inf
22.520000	255.642742	11.036465	-530.422503	-530.422503	0.846359	38.840198	0.000000		168.053715	Inf
23.020000	255.642742	11.036465	-530.422503	-530.422503	0.564239	38.840198	0.000000		168.062595	Inf
23.520000	255.642742	11.036465	-530.422503	-530.422503	0.921591	38.840198	0.000000		168.053715	Inf
24.020000	255.522567	11.031277	-530.422503	-530.422503	0.827551	38.844745	0.000000		168.062595	Inf
24.520000	255.342305	11.023495	-530.422503	-530.422503	0.733511	38.844745	0.000000		168.053715	Inf
25.020000	255.282217	11.020901	-530.422503	-530.422503	0.898081	38.844745	0.000000		168.053715	Inf
25.520000	255.282217	11.020901	-530.422503	-530.422503	0.719405	38.844745	0.000000		168.053715	Inf
26.020000	255.342305	11.023495	-530.422503	-530.422503	1.109671	38.844745	0.000000		168.053715	Inf
26.520000	255.162042	11.015713	-530.422503	-530.422503	0.860465	38.840198	0.000000		168.062595	Inf
27.020000	255.101955	11.013119	-530.422503	-530.422503	0.789935	38.844745	0.000000		168.053715	Inf
27.520000	255.041867	11.010525	-530.422503	-530.422503	0.747617	38.844745	0.000000		168.062595	Inf
28.020000	255.041867	11.010525	-530.422503	-530.422503	0.644173	38.849293	0.000000		168.053715	Inf
28.520000	255.041867	11.010525	-530.422503	-530.422503	0.705299	38.844745	0.000000		168.053715	Inf
29.020000	254.981780	11.007931	-530.346543	-530.346543	0.479603	38.840198	0.000000		168.062595	Inf
29.520000	254.921692	11.005337	-530.422503	-530.422503	0.968611	38.844745	0.000000		168.062595	Inf
