Time,secs	AreaA,cm	AreaA,A	Unused    	Unused    	PiA,mN/m	Unused    	Unused    	Unused    	Unused    	Unused
0.420000	256.904580	11.090941	-482.871841	-482.871841	0.240599	36.052580	0.000000	-156.003267	167.059129	Inf
0.920000	256.964667	11.093535	-482.871841	-482.871841	0.660467	36.052580	0.000000	-156.003267	167.041369	Inf
1.420000	256.904580	11.090941	-482.871841	-482.871841	0.580268	36.048033	0.000000		167.059129	Inf
1.920000	256.844492	11.088347	-482.871841	-482.871841	0.099070	36.052580	0.000000		167.059129	Inf
2.420000	256.964667	11.093535	-482.871841	-482.871841	0.169834	36.048033	0.000000		167.059129	Inf
2.920000	256.904580	11.090941	-482.871841	-482.871841	0.584985	36.052580	0.000000		167.059129	Inf
3.420000	256.904580	11.090941	-482.871841	-482.871841	0.400998	36.048033	0.000000		167.059129	Inf
3.920000	256.904580	11.090941	-482.947800	-482.947800	0.382127	36.052580	0.000000		167.059129	Inf
4.420000	256.904580	11.090941	-482.871841	-482.871841	0.226446	36.048033	0.000000		167.068010	Inf
4.920000	256.964667	11.093535	-482.947800	-482.947800	0.636879	36.052580	0.000000		167.068010	Inf
5.420000	256.844492	11.088347	-482.947800	-482.947800	0.490633	36.048033	0.000000		167.068010	Inf
5.920000	256.904580	11.090941	-482.947800	-482.947800	0.684055	36.052580	0.000000		167.068010	Inf
6.420000	256.964667	11.093535	-482.947800	-482.947800	0.669902	36.052580	0.000000		167.076890	Inf
6.920000	256.904580	11.090941	-482.871841	-482.871841	0.028306	36.052580	0.000000		167.076890	Inf
7.420000	256.904580	11.090941	-482.871841	-482.871841	0.316081	36.057127	0.000000		167.068010	Inf
7.920000	256.904580	11.090941	-483.023760	-483.023760	0.155682	36.052580	0.000000		167.068010	Inf
8.420000	256.844492	11.088347	-482.947800	-482.947800	0.037741	36.057127	0.000000		167.076890	Inf
8.920000	256.844492	11.088347	-483.023760	-483.023760	0.212293	36.048033	0.000000		167.076890	Inf
9.420000	256.784405	11.085753	-483.023760	-483.023760	0.103788	36.052580	0.000000		167.076890	Inf
9.920000	256.784405	11.085753	-482.947800	-482.947800	0.575550	36.052580	0.000000		167.076890	Inf
10.420000	256.664230	11.080565	-482.871841	-482.871841	0.089635	36.052580	0.000000		167.076890	Inf
10.920000	256.664230	11.080565	-482.947800	-482.947800	0.533091	36.057127	0.000000		167.085770	Inf
11.420000	256.604142	11.077970	-482.947800	-482.947800	0.042459	36.052580	0.000000		167.076890	Inf
11.920000	256.664230	11.080565	-482.947800	-482.947800	0.674620	36.052580	0.000000		167.076890	Inf
12.420000	256.604142	11.077970	-482.947800	-482.947800	0.183987	36.052580	0.000000		167.076890	Inf
12.920000	256.423880	11.070188	-482.947800	-482.947800	0.127376	36.052580	0.000000		167.085770	Inf
13.420000	256.303705	11.065000	-483.023760	-483.023760	0.207575	36.052580	0.000000		167.085770	Inf
13.920000	256.303705	11.065000	-482.947800	-482.947800	0.740667	36.052580	0.000000		167.085770	Inf
14.420000	256.303705	11.065000	-482.947800	-482.947800	0.759537	36.052580	0.000000		167.085770	Inf
14.920000	256.303705	11.065000	-483.023760	-483.023760	0.113223	36.052580	0.000000		167.085770	Inf
15.420000	256.303705	11.065000	-483.023760	-483.023760	0.693491	36.057127	0.000000		167.085770	Inf
15.920000	256.303705	11.065000	-482.947800	-482.947800	0.702926	36.052580	0.000000		167.094650	Inf
16.420000	256.183530	11.059812	-482.947800	-482.947800	0.169834	36.052580	0.000000		167.085770	Inf
16.920000	256.063355	11.054624	-483.023760	-483.023760	0.575550	36.057127	0.000000		167.085770	Inf
17.420000	256.003267	11.052030	-482.947800	-482.947800	0.113223	36.061675	0.000000		167.094650	Inf
17.920000	255.943180	11.049436	-483.023760	-483.023760	0.127376	36.057127	0.000000		167.085770	Inf
18.420000	255.943180	11.049436	-482.947800	-482.947800	0.287775	36.052580	0.000000		167.094650	Inf
18.920000	256.003267	11.052030	-483.023760	-483.023760	0.396280	36.057127	0.000000		167.094650	Inf
19.420000	255.883092	11.046842	-483.023760	-483.023760	0.717079	36.057127	0.000000		167.103530	Inf
19.920000	255.762917	11.041654	-483.023760	-483.023760	0.759537	36.057127	0.000000		167.094650	Inf
20.420000	255.702830	11.039059	-483.023760	-483.023760	0.264187	36.052580	0.000000		167.103530	Inf
