Time,secs	AreaA,cm	AreaA,A	Unused    	Unused    	PiA,mN/m	Unused    	Unused    	Unused    	Unused    	Unused    
2965.620000	256.003267	11.052030	-449.677529	-449.677529	0.305630	34.028942	0.000000		161.056097	Inf
2966.120000	255.943180	11.049436	-449.753488	-449.753488	0.117550	34.024395	0.000000		161.056097	Inf
2966.620000	255.762917	11.041654	-449.677529	-449.677529	0.282120	34.028942	0.000000		161.064977	Inf
2967.120000	255.642742	11.036465	-449.677529	-449.677529	0.051722	34.024395	0.000000		161.064977	Inf
2967.620000	255.642742	11.036465	-449.677529	-449.677529	0.300928	34.028942	0.000000		161.073857	Inf
2968.120000	255.642742	11.036465	-449.753488	-449.753488	-0.018808	34.024395	0.000000		161.064977	Inf
2968.620000	255.522567	11.031277	-449.753488	-449.753488	0.084636	34.028942	0.000000		161.073857	Inf
2969.120000	255.642742	11.036465	-449.753488	-449.753488	-0.037616	34.033490	0.000000		161.073857	Inf
2969.620000	255.642742	11.036465	-449.753488	-449.753488	0.178676	34.033490	0.000000		161.082738	Inf
2970.120000	255.462480	11.028683	-449.753488	-449.753488	0.018808	34.033490	0.000000		161.082738	Inf
2970.620000	255.342305	11.023495	-449.677529	-449.677529	0.159868	34.028942	0.000000		161.091618	Inf
2971.120000	255.342305	11.023495	-449.753488	-449.753488	0.037616	34.033490	0.000000		161.091618	Inf
2971.620000	255.282217	11.020901	-449.753488	-449.753488	0.291524	34.033490	0.000000		161.100498	Inf
2972.120000	255.222130	11.018307	-449.753488	-449.753488	0.018808	34.028942	0.000000		161.100498	Inf
2972.620000	255.282217	11.020901	-449.829448	-449.829448	0.032914	34.028942	0.000000		161.109378	Inf
2973.120000	255.162042	11.015713	-449.753488	-449.753488	0.277418	34.028942	0.000000		161.109378	Inf
2973.620000	255.041867	11.010525	-449.753488	-449.753488	-0.075232	34.033490	0.000000		161.109378	Inf
2974.120000	255.041867	11.010525	-449.753488	-449.753488	0.310332	34.033490	0.000000		161.118259	Inf
2974.620000	254.981780	11.007931	-449.753488	-449.753488	0.183378	34.028942	0.000000		161.127139	Inf
2975.120000	254.981780	11.007931	-449.753488	-449.753488	0.225696	34.028942	0.000000		161.136019	Inf
2975.620000	254.981780	11.007931	-449.753488	-449.753488	-0.009404	34.038038	0.000000		161.136019	Inf
2976.120000	254.921692	11.005337	-449.753488	-449.753488	0.164570	34.033490	0.000000		161.136019	Inf
2976.620000	254.861605	11.002743	-449.753488	-449.753488	0.192782	34.033490	0.000000		161.136019	Inf
2977.120000	254.741430	10.997554	-449.753488	-449.753488	0.268014	34.033490	0.000000		161.153780	Inf
2977.620000	254.681342	10.994960	-449.753488	-449.753488	0.418478	34.033490	0.000000		161.144899	Inf
2978.120000	254.681342	10.994960	-449.829448	-449.829448	0.272716	34.028942	0.000000		161.144899	Inf
