Time,secs	AreaA,cm	AreaA,A	Unused    	Unused    	PiA,mN/m	Unused    	Unused    	Unused    	Unused    	Unused    
0.720000	111.206280	4.800935	-595.823653	-595.823653	22.485917	42.496000	0.000000		160.034871	NaN
1.220000	111.206280	4.800935	-595.823653	-595.823653	22.490392	42.496000	0.000000		160.043751	NaN
1.720000	111.206280	4.800935	-595.823653	-595.823653	22.485917	42.496000	0.000000		160.025991	NaN
2.220000	111.206280	4.800935	-595.823653	-595.823653	22.508295	42.496000	0.000000		160.043751	NaN
2.720000	111.088132	4.795835	-595.823653	-595.823653	22.526198	42.496000	0.000000		160.043751	NaN
3.220000	110.969984	4.790734	-595.823653	-595.823653	22.544101	42.496000	0.000000		160.052632	NaN
3.720000	110.733688	4.780533	-595.823653	-595.823653	22.544101	42.496000	0.000000		160.043751	NaN
4.220000	110.497392	4.770332	-595.823653	-595.823653	22.544101	42.496000	0.000000		160.043751	NaN
4.720000	110.379244	4.765231	-595.823653	-595.823653	22.548577	42.496000	0.000000		160.043751	NaN
5.220000	110.339862	4.763531	-595.823653	-595.823653	22.557528	42.496000	0.000000		160.043751	NaN
5.720000	110.024800	4.749929	-595.823653	-595.823653	22.562004	42.496000	0.000000		160.052632	NaN
6.220000	109.906652	4.744829	-595.823653	-595.823653	22.562004	42.496000	0.000000		160.052632	NaN
6.720000	109.867270	4.743128	-595.823653	-595.823653	22.562004	42.496000	0.000000		160.043751	NaN
7.220000	109.630974	4.732927	-595.823653	-595.823653	22.566479	42.496000	0.000000		160.052632	NaN
7.720000	109.394678	4.722726	-595.823653	-595.823653	22.584382	42.496000	0.000000		160.043751	NaN
8.220000	109.394678	4.722726	-595.823653	-595.823653	22.579906	42.496000	0.000000		160.043751	NaN
8.720000	109.197765	4.714225	-595.823653	-595.823653	22.579906	42.496000	0.000000		160.043751	NaN
9.220000	108.961469	4.704024	-595.823653	-595.823653	22.588858	42.496000	0.000000		160.052632	NaN
9.720000	108.961469	4.704024	-595.823653	-595.823653	22.588858	42.496000	0.000000		160.052632	NaN
10.220000	108.725173	4.693822	-595.823653	-595.823653	22.602285	42.496000	0.000000		160.052632	NaN
10.720000	108.528260	4.685321	-595.823653	-595.823653	22.606761	42.496000	0.000000		160.043751	NaN
11.220000	108.331346	4.676820	-595.823653	-595.823653	22.615712	42.496000	0.000000		160.043751	NaN
11.720000	108.291964	4.675120	-595.823653	-595.823653	22.615712	42.496000	0.000000		160.043751	NaN
12.220000	108.055668	4.664919	-595.823653	-595.823653	22.615712	42.496000	0.000000		160.052632	NaN
12.720000	107.898137	4.658118	-595.823653	-595.823653	22.624664	42.496000	0.000000		160.043751	NaN
13.220000	107.858755	4.656418	-595.823653	-595.823653	22.638091	42.496000	0.000000		160.052632	NaN
13.720000	107.661841	4.647917	-595.823653	-595.823653	22.638091	42.496000	0.000000		160.052632	NaN
14.220000	107.425546	4.637716	-595.823653	-595.823653	22.638091	42.496000	0.000000		160.052632	NaN
14.720000	107.425546	4.637716	-595.823653	-595.823653	22.669421	42.496000	0.000000		160.052632	NaN
15.220000	107.149867	4.625814	-595.823653	-595.823653	22.682848	42.496000	0.000000		160.052632	NaN
15.720000	106.952954	4.617313	-595.823653	-595.823653	22.673896	42.496000	0.000000		160.052632	NaN
16.220000	106.874188	4.613913	-595.823653	-595.823653	22.682848	42.496000	0.000000		160.052632	NaN
16.720000	106.716658	4.607112	-595.823653	-595.823653	22.691799	42.496000	0.000000		160.025991	NaN
17.220000	106.519745	4.598611	-595.823653	-595.823653	22.700750	42.496000	0.000000		160.052632	NaN
17.720000	106.480362	4.596911	-595.823653	-595.823653	22.705226	42.496000	0.000000		160.052632	NaN
18.220000	106.244066	4.586709	-595.823653	-595.823653	22.718653	42.496000	0.000000		160.052632	NaN
18.720000	106.047153	4.578208	-595.823653	-595.823653	22.732080	42.496000	0.000000		160.043751	NaN
19.220000	105.889622	4.571408	-595.823653	-595.823653	22.727605	42.496000	0.000000		160.043751	NaN
19.720000	105.810857	4.568007	-595.823653	-595.823653	22.736556	42.496000	0.000000		160.052632	NaN
20.220000	105.613944	4.559506	-595.823653	-595.823653	22.749983	42.496000	0.000000		160.043751	NaN
20.720000	105.377648	4.549305	-595.823653	-595.823653	22.758934	42.496000	0.000000		160.034871	NaN
21.220000	105.298882	4.545904	-595.823653	-595.823653	22.758934	42.496000	0.000000		160.043751	NaN
21.720000	105.180734	4.540804	-595.823653	-595.823653	22.772362	42.496000	0.000000		160.034871	NaN
22.220000	105.023204	4.534003	-595.823653	-595.823653	22.803691	42.496000	0.000000		160.043751	NaN
22.720000	104.786908	4.523802	-595.823653	-595.823653	22.781313	42.496000	0.000000		160.043751	NaN
23.220000	104.747525	4.522102	-595.823653	-595.823653	22.781313	42.496000	0.000000		160.043751	NaN
23.720000	104.471847	4.510200	-595.823653	-595.823653	22.790264	42.496000	0.000000		160.034871	NaN
24.220000	104.235551	4.499999	-595.823653	-595.823653	22.799216	42.496000	0.000000		160.043751	NaN
24.720000	104.235551	4.499999	-595.823653	-595.823653	22.803691	42.496000	0.000000		160.043751	NaN
25.220000	104.038638	4.491498	-595.823653	-595.823653	22.803691	42.496000	0.000000		160.043751	NaN
25.720000	103.841724	4.482997	-595.823653	-595.823653	22.812643	42.496000	0.000000		160.043751	NaN
26.220000	103.802342	4.481297	-595.823653	-595.823653	22.817119	42.496000	0.000000		160.043751	NaN
26.720000	103.605428	4.472796	-595.823653	-595.823653	22.817119	42.496000	0.000000		160.043751	NaN
27.220000	103.408515	4.464295	-595.823653	-595.823653	22.830546	42.496000	0.000000		160.017111	NaN
27.720000	103.408515	4.464295	-595.823653	-595.823653	22.830546	42.496000	0.000000		160.025991	NaN
28.220000	103.172219	4.454093	-595.823653	-595.823653	22.830546	42.496000	0.000000		160.034871	NaN
28.720000	102.975306	4.445592	-595.823653	-595.823653	22.835021	42.496000	0.000000		160.034871	NaN
29.220000	102.896541	4.442192	-595.823653	-595.823653	22.843973	42.496000	0.000000		160.034871	NaN
29.720000	102.739010	4.435391	-595.823653	-595.823653	22.843973	42.496000	0.000000		160.034871	NaN
30.220000	102.542097	4.426890	-595.823653	-595.823653	22.857400	42.496000	0.000000		160.017111	NaN
30.720000	102.345184	4.418389	-595.823653	-595.823653	22.861876	42.496000	0.000000		160.034871	NaN
31.220000	102.305801	4.416689	-595.823653	-595.823653	22.861876	42.496000	0.000000		160.017111	NaN
