Time,secs	AreaA,cm	AreaA,A	Unused    	Unused    	PiA,mN/m	Unused    	Unused    	Unused    	Unused    	Unused    
0.320000	111.206280	4.800935	-595.823653	-595.823653	22.723129	42.496000	0.000000		158.800520	NaN
0.820000	111.206280	4.800935	-595.823653	-595.823653	22.727605	42.496000	0.000000		158.800520	NaN
1.320000	111.206280	4.800935	-595.823653	-595.823653	22.723129	42.496000	0.000000		158.791640	NaN
1.820000	111.206280	4.800935	-595.823653	-595.823653	22.723129	42.496000	0.000000		158.800520	NaN
2.320000	111.206280	4.800935	-595.823653	-595.823653	22.736556	42.496000	0.000000		158.809400	NaN
2.820000	110.969984	4.790734	-595.823653	-595.823653	22.745507	42.496000	0.000000		158.809400	NaN
3.320000	111.009367	4.792434	-595.823653	-595.823653	22.754459	42.496000	0.000000		158.809400	NaN
3.820000	110.733688	4.780533	-595.823653	-595.823653	22.767886	42.496000	0.000000		158.809400	NaN
4.320000	110.536775	4.772032	-595.823653	-595.823653	22.758934	42.496000	0.000000		158.809400	NaN
4.820000	110.379244	4.765231	-595.823653	-595.823653	22.745507	42.496000	0.000000		158.818280	NaN
5.320000	110.300479	4.761831	-595.823653	-595.823653	22.758934	42.496000	0.000000		158.809400	NaN
5.820000	110.103566	4.753330	-595.823653	-595.823653	22.758934	42.496000	0.000000		158.809400	NaN
6.320000	109.985418	4.748229	-595.823653	-595.823653	22.763410	42.496000	0.000000		158.809400	NaN
6.820000	109.867270	4.743128	-595.823653	-595.823653	22.758934	42.496000	0.000000		158.809400	NaN
7.320000	109.630974	4.732927	-595.823653	-595.823653	22.763410	42.496000	0.000000		158.809400	NaN
7.820000	109.355295	4.721026	-595.823653	-595.823653	22.794740	42.496000	0.000000		158.827160	NaN
8.320000	109.434061	4.724426	-595.823653	-595.823653	22.785789	42.496000	0.000000		158.818280	NaN
8.820000	109.197765	4.714225	-595.823653	-595.823653	22.772362	42.496000	0.000000		158.827160	NaN
9.320000	108.961469	4.704024	-595.823653	-595.823653	22.794740	42.496000	0.000000		158.809400	NaN
9.820000	108.922086	4.702323	-595.823653	-595.823653	22.799216	42.496000	0.000000		158.827160	NaN
10.320000	108.725173	4.693822	-595.823653	-595.823653	22.799216	42.496000	0.000000		158.809400	NaN
10.820000	108.528260	4.685321	-595.823653	-595.823653	22.799216	42.496000	0.000000		158.809400	NaN
11.320000	108.410112	4.680221	-595.823653	-595.823653	22.817119	42.496000	0.000000		158.827160	NaN
11.820000	108.252581	4.673420	-595.823653	-595.823653	22.808167	42.496000	0.000000		158.827160	NaN
12.320000	108.095051	4.666619	-595.823653	-595.823653	22.821594	42.496000	0.000000		158.818280	NaN
12.820000	107.898137	4.658118	-595.823653	-595.823653	22.830546	42.496000	0.000000		158.827160	NaN
13.320000	107.779989	4.653017	-595.823653	-595.823653	22.830546	42.496000	0.000000		158.809400	NaN
13.820000	107.701224	4.649617	-595.823653	-595.823653	22.835021	42.496000	0.000000		158.809400	NaN
14.320000	107.464928	4.639416	-595.823653	-595.823653	22.826070	42.496000	0.000000		158.827160	NaN
14.820000	107.307398	4.632615	-595.823653	-595.823653	22.852924	42.496000	0.000000		158.818280	NaN
15.320000	107.149867	4.625814	-595.823653	-595.823653	22.843973	42.496000	0.000000		158.827160	NaN
15.820000	106.952954	4.617313	-595.823653	-595.823653	22.848448	42.496000	0.000000		158.818280	NaN
16.320000	106.795423	4.610512	-595.823653	-595.823653	22.861876	42.496000	0.000000		158.827160	NaN
16.820000	106.716658	4.607112	-595.823653	-595.823653	22.852924	42.496000	0.000000		158.827160	NaN
17.320000	106.519745	4.598611	-595.823653	-595.823653	22.861876	42.496000	0.000000		158.827160	NaN
