Time,secs	AreaA,cm	AreaA,A	Unused    	Unused    	PiA,mN/m	Unused    	Unused    	Unused    	Unused    	Unused    
0.320000	111.245663	4.802635	-595.823653	-595.823653	22.915584	42.496000	0.000000		158.178904	NaN
0.820000	111.206280	4.800935	-595.823653	-595.823653	22.915584	42.496000	0.000000		158.187784	NaN
1.320000	111.206280	4.800935	-595.823653	-595.823653	22.911108	42.496000	0.000000		158.187784	NaN
1.820000	111.245663	4.802635	-595.823653	-595.823653	22.920060	42.496000	0.000000		158.187784	NaN
2.320000	111.206280	4.800935	-595.823653	-595.823653	22.933487	42.496000	0.000000		158.196665	NaN
2.820000	111.048749	4.794134	-595.823653	-595.823653	22.946914	42.496000	0.000000		158.196665	NaN
3.320000	110.969984	4.790734	-595.823653	-595.823653	22.951390	42.496000	0.000000		158.196665	NaN
3.820000	110.773071	4.782233	-595.823653	-595.823653	22.973768	42.496000	0.000000		158.196665	NaN
4.320000	110.615540	4.775432	-595.823653	-595.823653	22.973768	42.496000	0.000000		158.196665	NaN
4.820000	110.458010	4.768631	-595.823653	-595.823653	22.982719	42.496000	0.000000		158.187784	NaN
5.320000	110.300479	4.761831	-595.823653	-595.823653	22.987195	42.496000	0.000000		158.196665	NaN
5.820000	110.103566	4.753330	-595.823653	-595.823653	22.991671	42.496000	0.000000		158.196665	NaN
6.320000	110.024800	4.749929	-595.823653	-595.823653	22.996147	42.496000	0.000000		158.205545	NaN
6.820000	109.906652	4.744829	-595.823653	-595.823653	23.009574	42.496000	0.000000		158.196665	NaN
7.320000	109.670357	4.734627	-595.823653	-595.823653	23.014049	42.496000	0.000000		158.196665	NaN
7.820000	109.434061	4.724426	-595.823653	-595.823653	23.014049	42.496000	0.000000		158.205545	NaN
8.320000	109.434061	4.724426	-595.823653	-595.823653	23.027476	42.496000	0.000000		158.205545	NaN
8.820000	109.158382	4.712525	-595.823653	-595.823653	23.023001	42.496000	0.000000		158.205545	NaN
9.320000	109.040234	4.707424	-595.823653	-595.823653	23.023001	42.496000	0.000000		158.205545	NaN
9.820000	109.000852	4.705724	-595.823653	-595.823653	23.031952	42.496000	0.000000		158.196665	NaN
10.320000	108.725173	4.693822	-595.823653	-595.823653	23.027476	42.496000	0.000000		158.205545	NaN
10.820000	108.528260	4.685321	-595.823653	-595.823653	23.027476	42.496000	0.000000		158.205545	NaN
11.320000	108.410112	4.680221	-595.823653	-595.823653	23.036428	42.496000	0.000000		158.205545	NaN
11.820000	108.331346	4.676820	-595.823653	-595.823653	23.036428	42.496000	0.000000		158.214425	NaN
12.320000	108.095051	4.666619	-595.823653	-595.823653	23.045379	42.496000	0.000000		158.214425	NaN
12.820000	108.055668	4.664919	-595.823653	-595.823653	23.045379	42.496000	0.000000		158.214425	NaN
13.320000	107.898137	4.658118	-595.823653	-595.823653	23.049855	42.496000	0.000000		158.214425	NaN
13.820000	107.661841	4.647917	-595.823653	-595.823653	23.049855	42.496000	0.000000		158.205545	NaN
14.320000	107.583076	4.644516	-595.823653	-595.823653	23.049855	42.496000	0.000000		158.223305	NaN
14.820000	107.425546	4.637716	-595.823653	-595.823653	23.054331	42.496000	0.000000		158.214425	NaN
15.320000	107.228632	4.629215	-595.823653	-595.823653	23.058806	42.496000	0.000000		158.223305	NaN
15.820000	107.189250	4.627514	-595.823653	-595.823653	23.058806	42.496000	0.000000		158.223305	NaN
16.320000	106.992336	4.619013	-595.823653	-595.823653	23.063282	42.496000	0.000000		158.214425	NaN
16.820000	106.756040	4.608812	-595.823653	-595.823653	23.058806	42.496000	0.000000		158.223305	NaN
17.320000	106.756040	4.608812	-595.823653	-595.823653	23.081185	42.496000	0.000000		158.223305	NaN
17.820000	106.519745	4.598611	-595.823653	-595.823653	23.081185	42.496000	0.000000		158.214425	NaN
18.320000	106.480362	4.596911	-595.823653	-595.823653	23.081185	42.496000	0.000000		158.223305	NaN
18.820000	106.322831	4.590110	-595.823653	-595.823653	23.076709	42.496000	0.000000		158.205545	NaN
19.320000	106.086535	4.579909	-595.823653	-595.823653	23.076709	42.496000	0.000000		158.223305	NaN
19.820000	105.929005	4.573108	-595.823653	-595.823653	23.085661	42.496000	0.000000		158.223305	NaN
20.320000	105.810857	4.568007	-595.823653	-595.823653	23.085661	42.496000	0.000000		158.223305	NaN
20.820000	105.653326	4.561206	-595.823653	-595.823653	23.085661	42.496000	0.000000		158.223305	NaN
21.320000	105.535178	4.556106	-595.823653	-595.823653	23.094612	42.496000	0.000000		158.214425	NaN
21.820000	105.377648	4.549305	-595.823653	-595.823653	23.099088	42.496000	0.000000		158.232185	NaN
