Time,secs	AreaA,cm	AreaA,A	Unused    	Unused    	PiA,mN/m	Unused    	Unused    	Unused    	Unused    	Unused    
0.520000	111.245663	4.802635	-595.823653	-595.823653	26.822870	42.496000	0.000000		159.661902	NaN
1.020000	111.206280	4.800935	-595.823653	-595.823653	26.809443	42.496000	0.000000		159.670782	NaN
1.520000	111.245663	4.802635	-595.823653	-595.823653	26.813919	42.496000	0.000000		159.661902	NaN
2.020000	111.206280	4.800935	-595.823653	-595.823653	26.818394	42.496000	0.000000		159.670782	NaN
2.520000	111.245663	4.802635	-595.823653	-595.823653	26.804967	42.496000	0.000000		159.670782	NaN
3.020000	111.245663	4.802635	-595.823653	-595.823653	26.809443	42.496000	0.000000		159.661902	NaN
3.520000	111.206280	4.800935	-595.823653	-595.823653	26.800492	42.496000	0.000000		159.670782	NaN
4.020000	111.206280	4.800935	-595.823653	-595.823653	26.804967	42.496000	0.000000		159.661902	NaN
4.520000	111.245663	4.802635	-595.823653	-595.823653	26.791540	42.496000	0.000000		159.670782	NaN
5.020000	111.127515	4.797535	-595.823653	-595.823653	26.796016	42.496000	0.000000		159.670782	NaN
5.520000	111.245663	4.802635	-595.823653	-595.823653	26.787064	42.496000	0.000000		159.661902	NaN
6.020000	111.206280	4.800935	-595.823653	-595.823653	26.791540	42.496000	0.000000		159.670782	NaN
6.520000	111.206280	4.800935	-595.823653	-595.823653	26.787064	42.496000	0.000000		159.661902	NaN
7.020000	111.206280	4.800935	-595.823653	-595.823653	26.787064	42.496000	0.000000		159.679662	NaN
7.520000	111.245663	4.802635	-595.823653	-595.823653	26.782589	42.496000	0.000000		159.670782	NaN
8.020000	111.206280	4.800935	-595.823653	-595.823653	26.769162	42.496000	0.000000		159.670782	NaN
8.520000	111.245663	4.802635	-595.823653	-595.823653	26.773637	42.496000	0.000000		159.670782	NaN
9.020000	111.206280	4.800935	-595.823653	-595.823653	26.773637	42.496000	0.000000		159.670782	NaN
9.520000	111.166897	4.799235	-595.823653	-595.823653	26.760210	42.496000	0.000000		159.679662	NaN
10.020000	111.206280	4.800935	-595.823653	-595.823653	26.755735	42.496000	0.000000		159.670782	NaN
10.520000	111.166897	4.799235	-595.823653	-595.823653	26.751259	42.496000	0.000000		159.670782	NaN
11.020000	111.206280	4.800935	-595.823653	-595.823653	26.500620	42.496000	0.000000		159.670782	NaN
11.520000	111.245663	4.802635	-595.823653	-595.823653	26.760210	42.496000	0.000000		159.670782	NaN
12.020000	111.206280	4.800935	-595.823653	-595.823653	26.710978	42.496000	0.000000		159.661902	NaN
12.520000	111.166897	4.799235	-595.823653	-595.823653	26.746783	42.496000	0.000000		159.679662	NaN
13.020000	111.166897	4.799235	-595.823653	-595.823653	26.782589	42.496000	0.000000		159.670782	NaN
13.520000	111.206280	4.800935	-595.823653	-595.823653	26.849724	42.496000	0.000000		159.679662	NaN
14.020000	111.206280	4.800935	-595.823653	-595.823653	26.800492	42.496000	0.000000		159.670782	NaN
14.520000	111.206280	4.800935	-595.823653	-595.823653	26.778113	42.496000	0.000000		159.670782	NaN
15.020000	111.206280	4.800935	-595.823653	-595.823653	26.590134	42.496000	0.000000		159.661902	NaN
15.520000	111.206280	4.800935	-595.823653	-595.823653	26.800492	42.496000	0.000000		159.679662	NaN
16.020000	111.206280	4.800935	-595.823653	-595.823653	26.182845	42.496000	0.000000		159.679662	NaN
16.520000	111.206280	4.800935	-595.823653	-595.823653	27.104839	42.496000	0.000000		159.670782	NaN
17.020000	111.245663	4.802635	-595.823653	-595.823653	26.881054	42.496000	0.000000		159.670782	NaN
17.520000	111.245663	4.802635	-595.823653	-595.823653	26.455863	42.496000	0.000000		159.670782	NaN
18.020000	111.245663	4.802635	-595.823653	-595.823653	26.769162	42.496000	0.000000		159.670782	NaN
18.520000	111.206280	4.800935	-595.823653	-595.823653	26.809443	42.496000	0.000000		159.679662	NaN
19.020000	111.206280	4.800935	-595.823653	-595.823653	26.675172	42.496000	0.000000		159.679662	NaN
19.520000	111.245663	4.802635	-595.823653	-595.823653	26.670696	42.496000	0.000000		159.688542	NaN
20.020000	111.245663	4.802635	-595.823653	-595.823653	26.746783	42.496000	0.000000		159.653021	NaN
20.520000	111.166897	4.799235	-595.823653	-595.823653	26.719929	42.496000	0.000000		159.679662	NaN
21.020000	111.206280	4.800935	-595.823653	-595.823653	26.728880	42.496000	0.000000		159.679662	NaN
21.520000	111.245663	4.802635	-595.823653	-595.823653	26.733356	42.496000	0.000000		159.679662	NaN
22.020000	111.166897	4.799235	-595.823653	-595.823653	26.675172	42.496000	0.000000		159.679662	NaN
22.520000	111.245663	4.802635	-595.823653	-595.823653	26.675172	42.496000	0.000000		159.679662	NaN
23.020000	111.245663	4.802635	-595.823653	-595.823653	26.724405	42.496000	0.000000		159.679662	NaN
23.520000	111.206280	4.800935	-595.823653	-595.823653	26.670696	42.496000	0.000000		159.679662	NaN
24.020000	111.245663	4.802635	-595.823653	-595.823653	26.657269	42.496000	0.000000		159.679662	NaN
24.520000	111.245663	4.802635	-595.823653	-595.823653	26.679648	42.496000	0.000000		159.670782	NaN
25.020000	111.245663	4.802635	-595.823653	-595.823653	26.630415	42.496000	0.000000		159.679662	NaN
25.520000	111.206280	4.800935	-595.823653	-595.823653	26.693075	42.496000	0.000000		159.679662	NaN
26.020000	111.245663	4.802635	-595.823653	-595.823653	26.697550	42.496000	0.000000		159.688542	NaN
26.520000	111.206280	4.800935	-595.823653	-595.823653	26.679648	42.496000	0.000000		159.679662	NaN
27.020000	111.245663	4.802635	-595.823653	-595.823653	26.657269	42.496000	0.000000		159.670782	NaN
27.520000	111.206280	4.800935	-595.823653	-595.823653	26.657269	42.496000	0.000000		159.679662	NaN
28.020000	111.206280	4.800935	-595.823653	-595.823653	26.657269	42.496000	0.000000		159.688542	NaN
28.520000	111.206280	4.800935	-595.823653	-595.823653	26.657269	42.496000	0.000000		159.688542	NaN
29.020000	111.245663	4.802635	-595.823653	-595.823653	26.643842	42.496000	0.000000		159.679662	NaN
29.520000	111.206280	4.800935	-595.823653	-595.823653	26.639366	42.496000	0.000000		159.670782	NaN
30.020000	111.206280	4.800935	-595.823653	-595.823653	26.639366	42.496000	0.000000		159.688542	NaN
30.520000	111.206280	4.800935	-595.823653	-595.823653	26.639366	42.496000	0.000000		159.697423	NaN
31.020000	111.206280	4.800935	-595.823653	-595.823653	26.639366	42.496000	0.000000		159.688542	NaN
31.520000	111.206280	4.800935	-595.823653	-595.823653	26.639366	42.496000	0.000000		159.697423	NaN
32.020000	111.245663	4.802635	-595.823653	-595.823653	26.630415	42.496000	0.000000		159.697423	NaN
32.520000	111.206280	4.800935	-595.823653	-595.823653	26.630415	42.496000	0.000000		159.679662	NaN
33.020000	111.206280	4.800935	-595.823653	-595.823653	26.630415	42.496000	0.000000		159.688542	NaN
33.520000	111.245663	4.802635	-595.823653	-595.823653	26.630415	42.496000	0.000000		159.679662	NaN
34.020000	111.206280	4.800935	-595.823653	-595.823653	26.621464	42.496000	0.000000		159.688542	NaN
34.520000	111.206280	4.800935	-595.823653	-595.823653	26.621464	42.496000	0.000000		159.697423	NaN
35.020000	111.206280	4.800935	-595.823653	-595.823653	26.621464	42.496000	0.000000		159.697423	NaN
35.520000	111.206280	4.800935	-595.823653	-595.823653	26.612512	42.496000	0.000000		159.688542	NaN
36.020000	111.206280	4.800935	-595.823653	-595.823653	26.612512	42.496000	0.000000		159.688542	NaN
36.520000	111.206280	4.800935	-595.823653	-595.823653	26.612512	42.496000	0.000000		159.697423	NaN
37.020000	111.206280	4.800935	-595.823653	-595.823653	26.603561	42.496000	0.000000		159.697423	NaN
37.520000	111.245663	4.802635	-595.823653	-595.823653	26.603561	42.496000	0.000000		159.697423	NaN
38.020000	111.166897	4.799235	-595.823653	-595.823653	26.603561	42.496000	0.000000		159.697423	NaN
38.520000	111.206280	4.800935	-595.823653	-595.823653	26.603561	42.496000	0.000000		159.697423	NaN
39.020000	111.245663	4.802635	-595.823653	-595.823653	26.603561	42.496000	0.000000		159.697423	NaN
39.520000	111.245663	4.802635	-595.823653	-595.823653	26.599085	42.496000	0.000000		159.697423	NaN
40.020000	111.206280	4.800935	-595.823653	-595.823653	26.590134	42.496000	0.000000		159.697423	NaN
40.520000	111.245663	4.802635	-595.823653	-595.823653	26.590134	42.496000	0.000000		159.697423	NaN
41.020000	111.206280	4.800935	-595.823653	-595.823653	26.585658	42.496000	0.000000		159.706303	NaN
41.520000	111.206280	4.800935	-595.823653	-595.823653	26.581182	42.496000	0.000000		159.706303	NaN
42.020000	111.245663	4.802635	-595.823653	-595.823653	26.581182	42.496000	0.000000		159.706303	NaN
42.520000	111.245663	4.802635	-595.823653	-595.823653	26.590134	42.496000	0.000000		159.706303	NaN
43.020000	111.206280	4.800935	-595.823653	-595.823653	26.576707	42.496000	0.000000		159.697423	NaN
