Time,secs	AreaA,cm	AreaA,A	Unused    	Unused    	PiA,mN/m	Unused    	Unused    	Unused    	Unused    	Unused    
0.420000	111.245663	4.802635	-595.823653	-595.823653	23.618269	42.496000	0.000000		160.416721	NaN
0.920000	111.245663	4.802635	-595.823653	-595.823653	23.613793	42.496000	0.000000		160.425601	NaN
1.420000	111.245663	4.802635	-595.823653	-595.823653	23.609317	42.496000	0.000000		160.425601	NaN
1.920000	111.245663	4.802635	-595.823653	-595.823653	23.600366	42.496000	0.000000		160.434481	NaN
2.420000	111.245663	4.802635	-595.823653	-595.823653	23.600366	42.496000	0.000000		160.425601	NaN
2.920000	111.206280	4.800935	-595.823653	-595.823653	23.595890	42.496000	0.000000		160.434481	NaN
3.420000	111.206280	4.800935	-595.823653	-595.823653	23.595890	42.496000	0.000000		160.434481	NaN
3.920000	111.206280	4.800935	-595.823653	-595.823653	23.618269	42.496000	0.000000		160.425601	NaN
4.420000	111.127515	4.797535	-595.823653	-595.823653	23.640647	42.496000	0.000000		160.425601	NaN
4.920000	111.048749	4.794134	-595.823653	-595.823653	23.658550	42.496000	0.000000		160.434481	NaN
5.420000	110.969984	4.790734	-595.823653	-595.823653	23.667502	42.496000	0.000000		160.434481	NaN
5.920000	111.009367	4.792434	-595.823653	-595.823653	23.694356	42.496000	0.000000		160.425601	NaN
6.420000	110.969984	4.790734	-595.823653	-595.823653	23.703307	42.496000	0.000000		160.434481	NaN
6.920000	110.773071	4.782233	-595.823653	-595.823653	23.707783	42.496000	0.000000		160.434481	NaN
7.420000	110.773071	4.782233	-595.823653	-595.823653	23.725686	42.496000	0.000000		160.443361	NaN
7.920000	110.694305	4.778833	-595.823653	-595.823653	23.734637	42.496000	0.000000		160.434481	NaN
8.420000	110.576158	4.773732	-595.823653	-595.823653	23.743589	42.496000	0.000000		160.434481	NaN
8.920000	110.615540	4.775432	-595.823653	-595.823653	23.761491	42.496000	0.000000		160.434481	NaN
9.420000	110.576158	4.773732	-595.823653	-595.823653	23.783870	42.496000	0.000000		160.425601	NaN
9.920000	110.458010	4.768631	-595.823653	-595.823653	23.792821	42.496000	0.000000		160.425601	NaN
10.420000	110.339862	4.763531	-595.823653	-595.823653	23.810724	42.496000	0.000000		160.416721	NaN
10.920000	110.339862	4.763531	-595.823653	-595.823653	23.819675	42.496000	0.000000		160.425601	NaN
11.420000	110.339862	4.763531	-595.823653	-595.823653	23.833102	42.496000	0.000000		160.434481	NaN
11.920000	110.339862	4.763531	-595.823653	-595.823653	23.851005	42.496000	0.000000		160.425601	NaN
12.420000	110.300479	4.761831	-595.823653	-595.823653	23.842054	42.496000	0.000000		160.434481	NaN
12.920000	110.221714	4.758430	-595.823653	-595.823653	23.851005	42.496000	0.000000		160.434481	NaN
13.420000	110.103566	4.753330	-595.823653	-595.823653	23.895762	42.496000	0.000000		160.434481	NaN
13.920000	110.103566	4.753330	-595.823653	-595.823653	23.886811	42.496000	0.000000		160.425601	NaN
14.420000	110.103566	4.753330	-595.823653	-595.823653	23.868908	42.496000	0.000000		160.425601	NaN
14.920000	110.064183	4.751629	-595.823653	-595.823653	23.806248	42.496000	0.000000		160.425601	NaN
15.420000	109.985418	4.748229	-595.823653	-595.823653	23.797297	42.496000	0.000000		160.425601	NaN
15.920000	109.906652	4.744829	-595.823653	-595.823653	23.962898	42.496000	0.000000		160.416721	NaN
16.420000	109.906652	4.744829	-595.823653	-595.823653	23.873384	42.496000	0.000000		160.416721	NaN
16.920000	109.906652	4.744829	-595.823653	-595.823653	23.971849	42.496000	0.000000		160.416721	NaN
17.420000	109.906652	4.744829	-595.823653	-595.823653	23.824151	42.496000	0.000000		160.425601	NaN
17.920000	109.788505	4.739728	-595.823653	-595.823653	23.949471	42.496000	0.000000		160.416721	NaN
18.420000	109.709739	4.736327	-595.823653	-595.823653	23.944995	42.496000	0.000000		160.416721	NaN
